course_id,course_name,prodi,sks,course_time_minute,course_type,teacher_priority,teacher_position,teacher_id
CSD60706,Administrasi Basis Data,Teknologi Informasi,3,100,Pilihan,1,Pengampu,75
CSD60706,Administrasi Basis Data,Teknologi Informasi,3,100,Pilihan,1,Pengampu,91
CSD60706,Administrasi Basis Data,Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",102
CSD60706,Administrasi Basis Data,Teknologi Informasi,3,100,Pilihan,1,Pengampu,TBA_47
CIT62015,Administrasi Sistem,Teknologi Informasi,4,100,Wajib,2,Pengampu,65
CIT62015,Administrasi Sistem,Teknologi Informasi,4,100,Wajib,1,Pengampu,75
CIT62015,Administrasi Sistem,Teknologi Informasi,4,100,Wajib,1,Pengampu,104
CIT62015,Administrasi Sistem - Praktikum,Teknologi Informasi,4,100,Wajib,2,Pengampu,65
CIT62015,Administrasi Sistem - Praktikum,Teknologi Informasi,4,100,Wajib,1,Pengampu,75
CIT62015,Administrasi Sistem - Praktikum,Teknologi Informasi,4,100,Wajib,1,Pengampu,104
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,3,100,Wajib,1,Pengampu,16
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,3,100,Wajib,1,Pengampu,54
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,3,100,Wajib,1,Pengampu,63
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,3,100,Wajib,1,Pengampu,77
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,3,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",92
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,3,100,Wajib,1,Pengampu,93
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,3,100,Wajib,1,Pengampu,100
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,3,100,Wajib,2,Pengampu,103
CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,3,100,Wajib,1,Pengampu,107
CSD60716,Analisis Data Penelitian Kualitatif,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,100
CSD60716,Analisis Data Penelitian Kualitatif,Pendidikan Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",TBA_1
CSD60716,Analisis Data Penelitian Kualitatif,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,TBA_2
CSD60716,Analisis Data Penelitian Kualitatif,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,100
CSD60716,Analisis Data Penelitian Kualitatif,Pendidikan Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",TBA_1
CSD60716,Analisis Data Penelitian Kualitatif,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,TBA_2
CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,3,100,Pilihan,2,Pengampu,12
CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,3,100,Pilihan,1,Pengampu,37
CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,3,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",87
CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,3,100,Pilihan,1,Pengampu,100
CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,3,100,Pilihan,1,Pengampu,TBA_35
CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,3,100,Pilihan,1,Pengampu,TBA_36
CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,11
CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,16
