course_id,course_name,prodi,sks,course_time_minute,course_type,teacher_priority,teacher_position,teacher_id
CIT60048,Information Retrieval,Teknologi Informasi,2,100,Pilihan,1,Pengampu,1
CSD60714,Jaminan Kualitas Perangkat Lunak,Teknologi Informasi,3,100,Pilihan,1,Pengampu,1
CIS60103,Pemrograman Web Lanjut,Sistem Informasi,3,100,Pilihan,1,Pengampu,1
CSD60708,Penambangan Data,Teknologi Informasi,3,100,Pilihan,1,Pengampu,1
CIS60102,Pengembangan Aplikasi Multiplatform,Sistem Informasi,2,100,Pilihan,1,Pengampu,1
CIT60039,Pengembangan Aplikasi Web Lanjut,Teknologi Informasi,3,100,Pilihan,1,Pengampu,1
COM60061,Capstone Project,Pendidikan Teknologi Informasi,3,100,Wajib,1,"Pengelola, Pengampu",4
COM60061,Capstone Project,Teknologi Informasi,3,100,Wajib,1,"Pengelola, Pengampu",4
CIT62003,Dasar Pengembangan Sistem informasi,Teknologi Informasi,3,100,Wajib,1,"Pengelola, Pengampu",4
COM60052,Etika Profesi,Sistem Informasi,2,100,Wajib,1,"Pengelola, Pengampu",4
COM60052,Etika Profesi,Teknologi Informasi,2,100,Wajib,1,"Pengelola, Pengampu",4
CSD60714,Jaminan Kualitas Perangkat Lunak,Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",4
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,5,100,Wajib,1,"Pengelola, Pengampu",4
COM60014,Pemrograman Dasar,Sistem Informasi,5,100,Wajib,1,"Pengelola, Pengampu",4
COM60014,Pemrograman Dasar,Teknologi Informasi,5,100,Wajib,1,"Pengelola, Pengampu",4
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,3,100,Wajib,1,"Pengelola, Pengampu",4
COM60016,Pengantar Keilmuan Komputer,Pendidikan Teknologi Informasi,2,100,Pilihan,1,"Pengelola, Pengampu",4
COM60016,Pengantar Keilmuan Komputer,Sistem Informasi,2,100,Wajib,1,"Pengelola, Pengampu",4
COM60016,Pengantar Keilmuan Komputer,Teknologi Informasi,2,100,Wajib,1,"Pengelola, Pengampu",4
CIS61110,Pengembangan Aplikasi Mobile,Sistem Informasi,3,100,Wajib,1,"Pengelola, Pengampu",4
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,4,100,Wajib,1,"Pengelola, Pengampu",4
CIT60039,Pengembangan Aplikasi Web Lanjut,Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",4
CIS62109,Pengujian dan Evaluasi Sistem Informasi,Sistem Informasi,2,100,Pilihan,1,"Pengelola, Pengampu",4
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",4
CIS61118,Rekayasa Kebutuhan Sistem Informasi,Sistem Informasi,2,100,Pilihan,1,"Pengelola, Pengampu",4
CIS61108,Rekayasa Sistem Informasi,Sistem Informasi,5,100,Wajib,1,"Pengelola, Pengampu",4
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,2,100,Wajib,1,Pengampu,6
CIS61123,Enterprise Architecture II,Sistem Informasi,3,100,Pilihan,2,Pengampu,6
CSD60701,Manajemen Layanan Teknologi Informasi,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,6
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,6
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",6
CIS61119,Manajemen Risiko dan Kontrol Sistem Informasi,Sistem Informasi,2,100,Pilihan,1,Pengampu,6
CIE62204,Paradigma Sistem,Pendidikan Teknologi Informasi,2,100,Pilihan,1,Pengampu,6
CIS61120,Perbaikan Proses Bisnis,Sistem Informasi,2,100,Pilihan,1,Pengampu,6
CSD60703,Tata Kelola Teknologi Informasi,Sistem Informasi,3,100,Wajib,1,"Pengelola, Pengampu",6
CSD60703,Tata Kelola Teknologi Informasi,Teknologi Informasi,3,100,Wajib,1,"Pengelola, Pengampu",6
CIT60051,Teknologi Smart City,Teknologi Informasi,2,100,Pilihan,2,Pengampu,6
CSD60710,Sistem Informasi Geografis,Teknologi Informasi,3,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",11
CIS60104,Transformasi Pemerintah,Sistem Informasi,2,100,Pilihan,1,Pengampu,11
CSD60711,Perancangan Pengalaman Pengguna,Teknologi Informasi,3,100,Pilihan,2,Pengampu,12
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,2,100,Pilihan,2,Pengampu,12
CIS60104,Transformasi Pemerintah,Sistem Informasi,2,100,Pilihan,2,Pengampu,12
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,3,100,Pilihan,1,Pengampu,13
COM60061,Capstone Project,Teknologi Informasi,3,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",14
CIT60045,Kriptografi,Teknologi Informasi,3,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",14
CIT60047,Tata Kelola dan Kebijakan Keamanan Siber,Teknologi Informasi,2,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",14
CIT60042,Teknologi Blockchain dan Platform Keuangan Digital,Teknologi Informasi,2,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",14
CIT61016,Data Sains,Teknologi Informasi,3,100,Wajib,1,Pengampu,15
UBU60003,Kewirausahaan,Teknologi Informasi,2,100,Wajib,1,Pengampu,15
CSD60703,Tata Kelola Teknologi Informasi,Teknologi Informasi,3,100,Wajib,1,Pengampu,15
CIT61021,Data Warehouse,Teknologi Informasi,3,100,Pilihan,1,Pengampu,16
CIS60103,Pemrograman Web Lanjut,Sistem Informasi,3,100,Pilihan,1,Pengampu,16
CSD60708,Penambangan Data,Teknologi Informasi,3,100,Pilihan,1,Pengampu,16
CIT60052,Pengembangan Aplikasi Mobile Terapan,Teknologi Informasi,3,100,Pilihan,1,Pengampu,16
