event_id,course_id,course_name,requires_practicum_room,slots_needed,teacher_id,teacher_priority
EVT_0000,CSD60706,Administrasi Basis Data,False,2,75,1
EVT_0001,CSD60706,Administrasi Basis Data,False,2,91,1
EVT_0002,CSD60706,Administrasi Basis Data,False,2,102,1
EVT_0003,CSD60706,Administrasi Basis Data,False,2,TBA_47,1
EVT_0004,CIT62015,Administrasi Sistem,False,2,65,2
EVT_0005,CIT62015,Administrasi Sistem,False,2,75,1
EVT_0006,CIT62015,Administrasi Sistem,False,2,104,1
EVT_0007,CIT62015,Administrasi Sistem - Praktikum,True,2,Asprak_1,2
EVT_0008,CIT62015,Administrasi Sistem - Praktikum,True,2,Asprak_2,1
EVT_0009,CIT62015,Administrasi Sistem - Praktikum,True,2,Asprak_3,1
EVT_0010,CIT62011,Aljabar Linear dan Matriks,False,2,16,1
EVT_0011,CIT62011,Aljabar Linear dan Matriks,False,2,54,1
EVT_0012,CIT62011,Aljabar Linear dan Matriks,False,2,63,1
EVT_0013,CIT62011,Aljabar Linear dan Matriks,False,2,77,1
EVT_0014,CIT62011,Aljabar Linear dan Matriks,False,2,92,1
EVT_0015,CIT62011,Aljabar Linear dan Matriks,False,2,93,1
EVT_0016,CIT62011,Aljabar Linear dan Matriks,False,2,100,1
EVT_0017,CIT62011,Aljabar Linear dan Matriks,False,2,103,2
EVT_0018,CIT62011,Aljabar Linear dan Matriks,False,2,107,1
EVT_0019,CSD60716,Analisis Data Penelitian Kualitatif,False,2,12,2
EVT_0020,CSD60716,Analisis Data Penelitian Kualitatif,False,2,37,1
EVT_0021,CSD60716,Analisis Data Penelitian Kualitatif,False,2,87,1
EVT_0022,CSD60716,Analisis Data Penelitian Kualitatif,False,2,100,1
EVT_0023,CSD60716,Analisis Data Penelitian Kualitatif,False,2,100,1
EVT_0024,CSD60716,Analisis Data Penelitian Kualitatif,False,2,100,1
EVT_0025,CSD60716,Analisis Data Penelitian Kualitatif,False,2,TBA_1,1
EVT_0026,CSD60716,Analisis Data Penelitian Kualitatif,False,2,TBA_1,1
EVT_0027,CSD60716,Analisis Data Penelitian Kualitatif,False,2,TBA_2,1
EVT_0028,CSD60716,Analisis Data Penelitian Kualitatif,False,2,TBA_2,1
EVT_0029,CSD60716,Analisis Data Penelitian Kualitatif,False,2,TBA_35,1
EVT_0030,CSD60716,Analisis Data Penelitian Kualitatif,False,2,TBA_36,1
EVT_0031,CSD60715,Analisis Data Penelitian Kuantitatif,False,2,11,1
EVT_0032,CSD60715,Analisis Data Penelitian Kuantitatif,False,2,11,2
EVT_0033,CSD60715,Analisis Data Penelitian Kuantitatif,False,2,12,2
EVT_0034,CSD60715,Analisis Data Penelitian Kuantitatif,False,2,16,1
EVT_0035,CSD60715,Analisis Data Penelitian Kuantitatif,False,2,16,1
EVT_0036,CSD60715,Analisis Data Penelitian Kuantitatif,False,2,37,1
EVT_0037,CSD60715,Analisis Data Penelitian Kuantitatif,False,2,40,1
EVT_0038,CSD60715,Analisis Data Penelitian Kuantitatif,False,2,63,1
EVT_0039,CSD60715,Analisis Data Penelitian Kuantitatif,False,2,87,1
EVT_0040,CSD60715,Analisis Data Penelitian Kuantitatif,False,2,100,1
