lecturer_id,lab
1,Rekayasa Perangkat Lunak
2,Jaringan Berbasis Informasi
3,Sistem Cerdas
4,Rekayasa Perangkat Lunak
5,Jaringan Berbasis Informasi
6,Teknologi Pembelajaran
7,Teknologi Pembelajaran
8,Media Game dan Mobile
9,Robotika dan Sistem Tertanam
10,Sistem Cerdas
11,Sistem Informasi
12,Sistem Informasi
13,Sistem Informasi
14,Jaringan Berbasis Informasi
15,Sistem Cerdas
16,Media Game dan Mobile
17,Teknologi Pembelajaran
18,Robotika dan Sistem Tertanam
19,Rekayasa Perangkat Lunak
20,Sistem Cerdas
21,Sistem Informasi
22,Media Game dan Mobile
23,Sistem Cerdas
24,Sistem Cerdas
25,Robotika dan Sistem Tertanam
26,Jaringan Berbasis Informasi
27,Rekayasa Perangkat Lunak
28,Sistem Informasi
29,Sistem Cerdas
30,Sistem Cerdas
31,Sistem Informasi
32,Sistem Informasi
33,Robotika dan Sistem Tertanam
34,Sistem Cerdas
35,Jaringan Berbasis Informasi
36,Robotika dan Sistem Tertanam
37,Media Game dan Mobile
38,Media Game dan Mobile
39,Teknologi Pembelajaran
40,Teknologi Pembelajaran
41,Jaringan Berbasis Informasi
42,Sistem Cerdas
43,Robotika dan Sistem Tertanam
44,Robotika dan Sistem Tertanam
45,Teknologi Pembelajaran
46,Jaringan Berbasis Informasi
47,Media Game dan Mobile
48,Jaringan Berbasis Informasi
49,Sistem Informasi
50,Robotika dan Sistem Tertanam
51,Sistem Cerdas
52,Sistem Cerdas
53,Sistem Informasi
54,Sistem Cerdas
55,Sistem Informasi
56,Sistem Informasi
57,Sistem Informasi
58,Jaringan Berbasis Informasi
59,Teknologi Pembelajaran
60,Media Game dan Mobile
61,Sistem Cerdas
62,Media Game dan Mobile
63,Jaringan Berbasis Informasi
64,Rekayasa Perangkat Lunak
65,Jaringan Berbasis Informasi
66,Sistem Cerdas
67,Sistem Informasi
68,Robotika dan Sistem Tertanam
69,Sistem Cerdas
70,Media Game dan Mobile
71,Sistem Cerdas
72,Sistem Informasi
73,Sistem Informasi
74,Sistem Cerdas
75,Jaringan Berbasis Informasi
76,Rekayasa Perangkat Lunak
77,Sistem Cerdas
78,Teknologi Pembelajaran
79,Jaringan Berbasis Informasi
80,Sistem Cerdas
81,Robotika dan Sistem Tertanam
82,Sistem Cerdas
83,Media Game dan Mobile
84,Sistem Cerdas
85,Teknologi Pembelajaran
86,Jaringan Berbasis Informasi
87,Sistem Informasi
88,Robotika dan Sistem Tertanam
89,Sistem Cerdas
90,Robotika dan Sistem Tertanam
91,Teknologi Pembelajaran
92,Teknologi Pembelajaran
93,Sistem Cerdas
94,Sistem Cerdas
95,Sistem Cerdas
96,Teknologi Pembelajaran
97,Sistem Cerdas
98,Teknologi Pembelajaran
99,Rekayasa Perangkat Lunak
100,Teknologi Pembelajaran
101,Sistem Cerdas
102,Sistem Informasi
103,Teknologi Pembelajaran
104,Jaringan Berbasis Informasi
105,Media Game dan Mobile
106,Robotika dan Sistem Tertanam
107,Sistem Cerdas
108,Sistem Informasi
109,Robotika dan Sistem Tertanam
