slot_id,day,session_type,time_start,time_end
T_0000,Monday,Morning,07:00,07:50
T_0001,Monday,Morning,07:50,08:40
T_0002,Monday,Morning,08:40,09:30
T_0003,Monday,Morning,09:30,10:20
T_0004,Monday,Morning,10:20,11:10
T_0005,Monday,Morning,11:10,12:00
T_0006,Monday,Afternoon,12:30,13:20
T_0007,Monday,Afternoon,13:20,14:10
T_0008,Monday,Afternoon,14:10,15:00
T_0009,Monday,Afternoon,15:00,15:50
T_0010,Monday,Afternoon,15:50,16:40
T_0011,Monday,Afternoon,16:40,17:30
T_0012,Monday,Afternoon,17:30,18:20
T_0013,Tuesday,Morning,07:00,07:50
T_0014,Tuesday,Morning,07:50,08:40
T_0015,Tuesday,Morning,08:40,09:30
T_0016,Tuesday,Morning,09:30,10:20
T_0017,Tuesday,Morning,10:20,11:10
T_0018,Tuesday,Morning,11:10,12:00
T_0019,Tuesday,Afternoon,12:30,13:20
T_0020,Tuesday,Afternoon,13:20,14:10
T_0021,Tuesday,Afternoon,14:10,15:00
T_0022,Tuesday,Afternoon,15:00,15:50
T_0023,Tuesday,Afternoon,15:50,16:40
T_0024,Tuesday,Afternoon,16:40,17:30
T_0025,Tuesday,Afternoon,17:30,18:20
T_0026,Wednesday,Morning,07:00,07:50
T_0027,Wednesday,Morning,07:50,08:40
T_0028,Wednesday,Morning,08:40,09:30
T_0029,Wednesday,Morning,09:30,10:20
T_0030,Wednesday,Morning,10:20,11:10
T_0031,Wednesday,Morning,11:10,12:00
T_0032,Wednesday,Afternoon,12:30,13:20
T_0033,Wednesday,Afternoon,13:20,14:10
T_0034,Wednesday,Afternoon,14:10,15:00
T_0035,Wednesday,Afternoon,15:00,15:50
T_0036,Wednesday,Afternoon,15:50,16:40
T_0037,Wednesday,Afternoon,16:40,17:30
T_0038,Wednesday,Afternoon,17:30,18:20
T_0039,Thursday,Morning,07:00,07:50
T_0040,Thursday,Morning,07:50,08:40
T_0041,Thursday,Morning,08:40,09:30
T_0042,Thursday,Morning,09:30,10:20
T_0043,Thursday,Morning,10:20,11:10
T_0044,Thursday,Morning,11:10,12:00
T_0045,Thursday,Afternoon,12:30,13:20
T_0046,Thursday,Afternoon,13:20,14:10
T_0047,Thursday,Afternoon,14:10,15:00
T_0048,Thursday,Afternoon,15:00,15:50
T_0049,Thursday,Afternoon,15:50,16:40
T_0050,Thursday,Afternoon,16:40,17:30
T_0051,Thursday,Afternoon,17:30,18:20
T_0052,Friday,Morning,07:00,07:50
T_0053,Friday,Morning,07:50,08:40
T_0054,Friday,Morning,08:40,09:30
T_0055,Friday,Morning,09:30,10:20
T_0056,Friday,Morning,10:20,11:10
T_0057,Friday,Morning,11:10,12:00
T_0058,Friday,Afternoon,12:30,13:20
T_0059,Friday,Afternoon,13:20,14:10
T_0060,Friday,Afternoon,14:10,15:00
T_0061,Friday,Afternoon,15:00,15:50
T_0062,Friday,Afternoon,15:50,16:40
T_0063,Friday,Afternoon,16:40,17:30
T_0064,Friday,Afternoon,17:30,18:20
