event_id,course_id,course_name,requires_practicum_room,slots_needed,teacher_id,teacher_priority
EVT_0000,CIT60048,Information Retrieval,False,2,1,1
EVT_0001,CSD60714,Jaminan Kualitas Perangkat Lunak,False,2,1,1
EVT_0002,CIS60103,Pemrograman Web Lanjut,False,2,1,1
EVT_0003,CSD60708,Penambangan Data,False,2,1,1
EVT_0004,CIS60102,Pengembangan Aplikasi Multiplatform,False,2,1,1
EVT_0005,CIT60039,Pengembangan Aplikasi Web Lanjut,False,2,1,1
EVT_0006,COM60061,Capstone Project,False,2,4,1
EVT_0007,COM60061,Capstone Project,False,2,4,1
EVT_0008,CIT62003,Dasar Pengembangan Sistem informasi,False,2,4,1
EVT_0009,COM60052,Etika Profesi,False,2,4,1
EVT_0010,COM60052,Etika Profesi,False,2,4,1
EVT_0011,CSD60714,Jaminan Kualitas Perangkat Lunak,False,2,4,1
EVT_0012,COM60014,Pemrograman Dasar,False,2,4,1
EVT_0013,COM60014,Pemrograman Dasar,False,2,4,1
EVT_0014,COM60014,Pemrograman Dasar,False,2,4,1
EVT_0015,CIE61205,Pemrograman Web,False,2,4,1
EVT_0016,COM60016,Pengantar Keilmuan Komputer,False,2,4,1
EVT_0017,COM60016,Pengantar Keilmuan Komputer,False,2,4,1
EVT_0018,COM60016,Pengantar Keilmuan Komputer,False,2,4,1
EVT_0019,CIS61110,Pengembangan Aplikasi Mobile,False,2,4,1
EVT_0020,CIT61006,Pengembangan Aplikasi Web,False,2,4,1
EVT_0021,CIT60039,Pengembangan Aplikasi Web Lanjut,False,2,4,1
EVT_0022,CIS62109,Pengujian dan Evaluasi Sistem Informasi,False,2,4,1
EVT_0023,CSD60711,Perancangan Pengalaman Pengguna,False,2,4,1
EVT_0024,CIS61118,Rekayasa Kebutuhan Sistem Informasi,False,2,4,1
EVT_0025,CIS61108,Rekayasa Sistem Informasi,False,2,4,1
EVT_0026,CIS61112,Dasar Manajemen Proyek,False,2,6,1
EVT_0027,CIS61123,Enterprise Architecture II,False,2,6,2
EVT_0028,CSD60701,Manajemen Layanan Teknologi Informasi,False,2,6,1
EVT_0029,CIE61404,Manajemen Proyek Teknologi Informasi,False,2,6,1
EVT_0030,CIT60031,Manajemen Proyek Teknologi Informasi,False,2,6,1
EVT_0031,CIS61119,Manajemen Risiko dan Kontrol Sistem Informasi,False,2,6,1
EVT_0032,CIE62204,Paradigma Sistem,False,2,6,1
EVT_0033,CIS61120,Perbaikan Proses Bisnis,False,2,6,1
EVT_0034,CSD60703,Tata Kelola Teknologi Informasi,False,2,6,1
EVT_0035,CSD60703,Tata Kelola Teknologi Informasi,False,2,6,1
EVT_0036,CIT60051,Teknologi Smart City,False,2,6,2
EVT_0037,CSD60710,Sistem Informasi Geografis,False,2,11,1
EVT_0038,CIS60104,Transformasi Pemerintah,False,2,11,1
EVT_0039,CSD60711,Perancangan Pengalaman Pengguna,False,2,12,2
EVT_0040,CIS60101,Perkembangan dan Tren Teknologi Digital,False,2,12,2
EVT_0041,CIS60104,Transformasi Pemerintah,False,2,12,2
EVT_0042,CIT60031,Manajemen Proyek Teknologi Informasi,False,2,13,1
EVT_0043,COM60061,Capstone Project,False,2,14,1
EVT_0044,CIT60045,Kriptografi,False,2,14,1
EVT_0045,CIT60047,Tata Kelola dan Kebijakan Keamanan Siber,False,2,14,1
EVT_0046,CIT60042,Teknologi Blockchain dan Platform Keuangan Digital,False,2,14,1
EVT_0047,CIT61016,Data Sains,False,2,15,1
EVT_0048,UBU60003,Kewirausahaan,False,2,15,1
EVT_0049,CSD60703,Tata Kelola Teknologi Informasi,False,2,15,1
EVT_0050,CIT61021,Data Warehouse,False,2,16,1
EVT_0051,CIS60103,Pemrograman Web Lanjut,False,2,16,1
EVT_0052,CSD60708,Penambangan Data,False,2,16,1
EVT_0053,CIT60052,Pengembangan Aplikasi Mobile Terapan,False,2,16,1
EVT_0054,CIS60102,Pengembangan Aplikasi Multiplatform,False,2,16,1
EVT_0055,CIT60039,Pengembangan Aplikasi Web Lanjut,False,2,16,1
EVT_0056,CIT60053,Pengembangan Gim,False,2,16,1
EVT_0057,CSD60711,Perancangan Pengalaman Pengguna,False,2,16,1
EVT_0058,CIS60101,Perkembangan dan Tren Teknologi Digital,False,2,16,1
EVT_0059,CIS60106,Sistem Informasi Berkelanjutan,False,2,16,1
EVT_0060,CIT60049,Teknologi Basis Data Non Relational,False,2,16,1
EVT_0061,CIT60036,Teknologi Berbasis Cloud,False,2,16,1
