unit_id,teacher_id,room_id,day_idx,day,start_slot,end_slot,slots,session_type,course_id,prodi
CSD60704__Teknologi Informasi__TH,98,F3.7b,2,Wednesday,5,7,2,Theory,CSD60704,Teknologi Informasi
CIT62022__Teknologi Informasi__TH,TBA_51,F4.3,0,Monday,2,4,2,Theory,CIT62022,Teknologi Informasi
CIT60048__Teknologi Informasi__TH,97,F3.2,0,Monday,0,2,2,Theory,CIT60048,Teknologi Informasi
CSD60714__Pendidikan Teknologi Informasi__TH,1,F4.4,0,Monday,2,4,2,Theory,CSD60714,Pendidikan Teknologi Informasi
CSD60714__Teknologi Informasi__TH,1,F3.2,2,Wednesday,3,5,2,Theory,CSD60714,Teknologi Informasi
COM60024__Sistem Informasi__TH,65,F4.11,4,Friday,2,5,3,Theory,COM60024,Sistem Informasi
COM60024__Sistem Informasi__PR,37,G1.5,3,Thursday,10,13,3,Practicum,COM60024,Sistem Informasi
COM60024__Teknologi Informasi__TH,67,F3.5a,2,Wednesday,3,6,3,Theory,COM60024,Teknologi Informasi
COM60024__Teknologi Informasi__PR,22,G1.4,2,Wednesday,10,13,3,Practicum,COM60024,Teknologi Informasi
CSD60705__Sistem Informasi__TH,70,G1.3,4,Friday,2,4,2,Theory,CSD60705,Sistem Informasi
CSD60705__Sistem Informasi__PR,60,F2.6,0,Monday,5,7,2,Practicum,CSD60705,Sistem Informasi
CIS62106__Sistem Informasi__TH,1,G1.2,0,Monday,6,9,3,Theory,CIS62106,Sistem Informasi
CIS60103__Sistem Informasi__TH,22,F2.9,0,Monday,3,5,2,Theory,CIS60103,Sistem Informasi
CSD60708__Sistem Informasi__TH,107,G1.2,2,Wednesday,7,9,2,Theory,CSD60708,Sistem Informasi
CSD60708__Teknologi Informasi__TH,80,F4.6,3,Thursday,10,12,2,Theory,CSD60708,Teknologi Informasi
CIS60102__Sistem Informasi__TH,47,F4.13,4,Friday,6,8,2,Theory,CIS60102,Sistem Informasi
CIT60039__Teknologi Informasi__TH,31,G1.2,2,Wednesday,5,7,2,Theory,CIT60039,Teknologi Informasi
CIE62209__Pendidikan Teknologi Informasi__TH,22,F4.7,3,Thursday,2,4,2,Theory,CIE62209,Pendidikan Teknologi Informasi
CIE62209__Pendidikan Teknologi Informasi__PR,76,G1.5,1,Tuesday,4,6,2,Practicum,CIE62209,Pendidikan Teknologi Informasi
CIT62023__Teknologi Informasi__TH,3,F2.2,4,Friday,8,10,2,Theory,CIT62023,Teknologi Informasi
COM60004__Teknologi Informasi__TH,3,F4.12,4,Friday,11,13,2,Theory,COM60004,Teknologi Informasi
CIE61208__Pendidikan Teknologi Informasi__TH,4,F4.7,2,Wednesday,5,7,2,Theory,CIE61208,Pendidikan Teknologi Informasi
CIE61208__Pendidikan Teknologi Informasi__PR,4,G1.6,0,Monday,8,10,2,Practicum,CIE61208,Pendidikan Teknologi Informasi
COM60061__Sistem Informasi__TH,76,F4.3,2,Wednesday,2,4,2,Theory,COM60061,Sistem Informasi
CIT62001__Teknologi Informasi__TH,47,F3.6,0,Monday,8,10,2,Theory,CIT62001,Teknologi Informasi
CIS62102__Sistem Informasi__TH,12,F4.11,0,Monday,1,3,2,Theory,CIS62102,Sistem Informasi
COM60052__Pendidikan Teknologi Informasi__TH,94,G1.2,3,Thursday,2,4,2,Theory,COM60052,Pendidikan Teknologi Informasi
CIS62126__Sistem Informasi__TH,55,F2.1,2,Wednesday,0,2,2,Theory,CIS62126,Sistem Informasi
CIE62401__Pendidikan Teknologi Informasi__TH,6,F4.2,1,Tuesday,7,9,2,Theory,CIE62401,Pendidikan Teknologi Informasi
CIE62203__Pendidikan Teknologi Informasi__TH,4,F4.10,1,Tuesday,9,11,2,Theory,CIE62203,Pendidikan Teknologi Informasi
CIE62203__Pendidikan Teknologi Informasi__PR,75,G1.6,1,Tuesday,1,3,2,Practicum,CIE62203,Pendidikan Teknologi Informasi
CIS61127__Sistem Informasi__TH,4,F4.9,2,Wednesday,3,5,2,Theory,CIS61127,Sistem Informasi
CIE62201__Pendidikan Teknologi Informasi__TH,22,G1.3,2,Wednesday,3,5,2,Theory,CIE62201,Pendidikan Teknologi Informasi
CIE62201__Pendidikan Teknologi Informasi__PR,TBA_26,G1.6,3,Thursday,1,3,2,Practicum,CIE62201,Pendidikan Teknologi Informasi
CSD60711__Pendidikan Teknologi Informasi__TH,45,F3.4,2,Wednesday,4,6,2,Theory,CSD60711,Pendidikan Teknologi Informasi
CSD60711__Pendidikan Teknologi Informasi__PR,45,G1.3,0,Monday,3,5,2,Practicum,CSD60711,Pendidikan Teknologi Informasi
CSD60711__Sistem Informasi__TH,60,F3.1,2,Wednesday,0,2,2,Theory,CSD60711,Sistem Informasi
CSD60711__Teknologi Informasi__TH,60,F4.7,3,Thursday,11,13,2,Theory,CSD60711,Teknologi Informasi
CIS62113__Sistem Informasi__TH,4,F2.4,0,Monday,5,7,2,Theory,CIS62113,Sistem Informasi
