session_idx,teacher_id,course_id,course_name,prodi,room_id,day_idx,day,start_slot,end_slot,slots,session_type
0,75,CSD60706,Administrasi Basis Data,Teknologi Informasi,F2.6,2,Wednesday,11,13,2,Theory
1,91,CSD60706,Administrasi Basis Data,Teknologi Informasi,F3.12,2,Wednesday,7,9,2,Theory
2,102,CSD60706,Administrasi Basis Data,Teknologi Informasi,F3.1,1,Tuesday,8,10,2,Theory
3,TBA_47,CSD60706,Administrasi Basis Data,Teknologi Informasi,F4.2,0,Monday,4,6,2,Theory
4,65,CIT62015,Administrasi Sistem,Teknologi Informasi,F2.1,2,Wednesday,4,7,3,Theory
5,75,CIT62015,Administrasi Sistem,Teknologi Informasi,F3.16,3,Thursday,3,6,3,Theory
6,104,CIT62015,Administrasi Sistem,Teknologi Informasi,F3.1,3,Thursday,5,8,3,Theory
7,65,CIT62015,Administrasi Sistem - Praktikum,Teknologi Informasi,F2.2,3,Thursday,7,10,3,Practicum
8,75,CIT62015,Administrasi Sistem - Praktikum,Teknologi Informasi,F2.8,1,Tuesday,9,12,3,Practicum
9,104,CIT62015,Administrasi Sistem - Praktikum,Teknologi Informasi,G1.6,0,Monday,8,11,3,Practicum
10,16,CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,G1.3,4,Friday,8,10,2,Theory
11,54,CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,F2.8,0,Monday,3,5,2,Theory
12,63,CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,F4.5,1,Tuesday,4,6,2,Theory
13,77,CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,F4.13,0,Monday,5,7,2,Theory
14,92,CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,F3.17,3,Thursday,0,2,2,Theory
15,93,CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,F3.14,3,Thursday,6,8,2,Theory
16,100,CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,F3.11,1,Tuesday,1,3,2,Theory
17,103,CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,F3.5b,2,Wednesday,2,4,2,Theory
18,107,CIT62011,Aljabar Linear dan Matriks,Teknologi Informasi,F3.9,0,Monday,6,8,2,Theory
19,100,CSD60716,Analisis Data Penelitian Kualitatif,Pendidikan Teknologi Informasi,F3.7a,3,Thursday,0,2,2,Theory
20,TBA_1,CSD60716,Analisis Data Penelitian Kualitatif,Pendidikan Teknologi Informasi,F3.5b,3,Thursday,1,3,2,Theory
21,TBA_2,CSD60716,Analisis Data Penelitian Kualitatif,Pendidikan Teknologi Informasi,F4.2,1,Tuesday,9,11,2,Theory
22,12,CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,G1.2,0,Monday,5,7,2,Theory
23,37,CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,G1.6,3,Thursday,2,4,2,Theory
24,87,CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,F3.2,1,Tuesday,2,4,2,Theory
25,100,CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,F3.16,0,Monday,1,3,2,Theory
26,TBA_35,CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,F3.5a,1,Tuesday,4,6,2,Theory
27,TBA_36,CSD60716,Analisis Data Penelitian Kualitatif,Sistem Informasi,F4.13,1,Tuesday,2,4,2,Theory
28,11,CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,F4.4,3,Thursday,4,6,2,Theory
29,16,CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,G1.3,0,Monday,11,13,2,Theory
30,63,CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,F2.2,2,Wednesday,10,12,2,Theory
31,100,CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,G1.4,0,Monday,2,4,2,Theory
32,TBA_3,CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,F2.6,2,Wednesday,7,9,2,Theory
33,TBA_4,CSD60715,Analisis Data Penelitian Kuantitatif,Pendidikan Teknologi Informasi,F2.4,3,Thursday,0,2,2,Theory
34,11,CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,F3.2,0,Monday,0,2,2,Theory
35,12,CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,F4.14,2,Wednesday,9,11,2,Theory
36,16,CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,F4.2,1,Tuesday,7,9,2,Theory
37,37,CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,F3.6,0,Monday,3,5,2,Theory
38,40,CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,F4.11,0,Monday,3,5,2,Theory
39,87,CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,F4.9,0,Monday,6,8,2,Theory
40,100,CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,F4.7,1,Tuesday,8,10,2,Theory
41,108,CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,F4.10,2,Wednesday,6,8,2,Theory
42,TBA_37,CSD60715,Analisis Data Penelitian Kuantitatif,Sistem Informasi,F4.12,3,Thursday,3,5,2,Theory
43,4,CIE61208,Basis Data,Pendidikan Teknologi Informasi,F3.6,2,Wednesday,3,5,2,Theory
44,4,CIE61208,Basis Data - Praktikum,Pendidikan Teknologi Informasi,G1.4,4,Friday,10,12,2,Practicum
45,16,CSD60707,Big Data dan Analitik,Sistem Informasi,F3.12,0,Monday,3,5,2,Theory
46,20,CSD60707,Big Data dan Analitik,Sistem Informasi,F4.9,0,Monday,10,12,2,Theory
47,52,CSD60707,Big Data dan Analitik,Sistem Informasi,G1.2,4,Friday,0,2,2,Theory
48,72,CSD60707,Big Data dan Analitik,Sistem Informasi,F3.10,0,Monday,5,7,2,Theory
49,80,CSD60707,Big Data dan Analitik,Sistem Informasi,F2.6,1,Tuesday,8,10,2,Theory
50,89,CSD60707,Big Data dan Analitik,Sistem Informasi,F2.6,3,Thursday,11,13,2,Theory
51,102,CSD60707,Big Data dan Analitik,Sistem Informasi,G1.3,0,Monday,1,3,2,Theory
52,20,CSD60707,Big Data dan Analitik,Teknologi Informasi,F4.4,2,Wednesday,2,4,2,Theory
53,48,CSD60707,Big Data dan Analitik,Teknologi Informasi,F4.11,2,Wednesday,3,5,2,Theory
54,52,CSD60707,Big Data dan Analitik,Teknologi Informasi,F3.3,3,Thursday,0,2,2,Theory
55,80,CSD60707,Big Data dan Analitik,Teknologi Informasi,F3.15,4,Friday,8,10,2,Theory
56,89,CSD60707,Big Data dan Analitik,Teknologi Informasi,F3.5b,3,Thursday,8,10,2,Theory
