event_id,teacher_id,teacher_priority,slots_needed,room_id,slot_start_idx
EVT_0000,75,1,2,F4.2,39
EVT_0001,91,1,2,F3.7a,49
EVT_0002,102,1,2,F2.2,27
EVT_0003,TBA_47,1,2,F4.5,8
EVT_0004,65,2,2,F3.14,26
EVT_0005,75,1,2,F3.7a,3
EVT_0006,104,1,2,G1.2,16
EVT_0007,65,2,2,F4.14,63
EVT_0008,75,1,2,F4.14,18
EVT_0009,104,1,2,G1.2,10
EVT_0010,16,1,2,F4.4,21
EVT_0011,54,1,2,F3.7a,58
EVT_0012,63,1,2,F4.9,35
EVT_0013,77,1,2,F3.6,38
EVT_0014,92,1,2,F2.5,51
EVT_0015,93,1,2,F3.6,4
EVT_0016,100,1,2,F2.4,9
EVT_0017,103,2,2,F3.5a,53
EVT_0018,107,1,2,F2.4,62
EVT_0019,100,1,2,F2.6,0
EVT_0020,TBA_1,1,2,F2.6,5
EVT_0021,TBA_2,1,2,F3.16,48
EVT_0022,100,1,2,F2.4,20
EVT_0023,TBA_1,1,2,F3.2,40
EVT_0024,TBA_2,1,2,F4.11,12
EVT_0025,12,2,2,F3.17,27
EVT_0026,37,1,2,F3.13,23
EVT_0027,87,1,2,F4.11,34
EVT_0028,100,1,2,F3.13,32
EVT_0029,TBA_35,1,2,F3.13,16
EVT_0030,TBA_36,1,2,G1.2,41
EVT_0031,11,1,2,F2.4,22
EVT_0032,16,1,2,F4.9,12
EVT_0033,63,1,2,F3.5a,57
EVT_0034,100,1,2,G1.4,42
EVT_0035,TBA_3,1,2,F3.5a,16
EVT_0036,TBA_4,1,2,F4.13,53
EVT_0037,11,2,2,G1.3,6
EVT_0038,12,2,2,G1.2,64
EVT_0039,16,1,2,F4.9,52
EVT_0040,37,1,2,F2.8,57
EVT_0041,40,1,2,F3.4,30
EVT_0042,87,1,2,F3.5b,28
EVT_0043,100,1,2,F3.10,35
EVT_0044,108,1,2,F4.11,18
EVT_0045,TBA_37,1,2,F4.11,14
EVT_0046,4,1,2,F3.16,64
EVT_0047,4,1,2,F2.8,16
EVT_0048,16,1,2,G1.5,20
EVT_0049,20,1,2,G1.2,27
EVT_0050,52,1,2,F2.4,34
EVT_0051,72,1,2,F3.15,38
EVT_0052,80,1,2,F2.5,10
EVT_0053,89,2,2,F3.2,16
EVT_0054,102,1,2,F4.6,20
EVT_0055,20,1,2,F4.6,39
EVT_0056,48,1,2,F4.4,22
EVT_0057,52,1,2,F2.2,35
EVT_0058,80,1,2,F3.6,2
EVT_0059,89,2,2,F4.9,36
