event_id,course_name,teacher_id,room_id,day,time_start,time_end
EVT_0376,Internet of Things - Praktikum,Asprak_19,G1.2,Monday,07:00,08:40
EVT_0453,Teknologi Keamanan Siber - Praktikum,Asprak_89,G1.2,Monday,12:30,14:10
EVT_0375,Internet of Things - Praktikum,Asprak_18,G1.2,Monday,08:40,10:20
EVT_0397,Pemrograman Dasar - Praktikum,Asprak_38,G1.2,Monday,10:20,12:00
EVT_0389,Jaringan Komputer - Praktikum,Asprak_30,G1.2,Tuesday,07:00,08:40
EVT_0374,Internet of Things - Praktikum,Asprak_17,G1.2,Tuesday,08:40,10:20
EVT_0438,Pengembangan Aplikasi Web - Praktikum,Asprak_75,G1.2,Tuesday,10:20,12:00
EVT_0411,Pemrograman Dasar - Praktikum,Asprak_50,G1.2,Wednesday,07:00,08:40
EVT_0440,Pengembangan Aplikasi Web - Praktikum,Asprak_77,G1.2,Monday,14:10,15:50
EVT_0441,Pengembangan Aplikasi Web - Praktikum,Asprak_78,G1.2,Wednesday,08:40,10:20
EVT_0408,Pemrograman Dasar - Praktikum,Asprak_48,G1.2,Wednesday,10:20,12:00
EVT_0442,Rekayasa Sistem Informasi - Praktikum,Asprak_79,G1.2,Thursday,07:00,08:40
EVT_0422,Pemrograman Dasar - Praktikum,Asprak_60,G1.2,Monday,15:50,17:30
EVT_0421,Basis Data - Praktikum,Asprak_6,G1.2,Thursday,08:40,10:20
EVT_0420,Pemrograman Dasar - Praktikum,Asprak_59,G1.2,Thursday,10:20,12:00
EVT_0419,Pemrograman Dasar - Praktikum,Asprak_58,G1.2,Friday,07:00,08:40
EVT_0409,Pemrograman Dasar - Praktikum,Asprak_49,G1.2,Friday,08:40,10:20
EVT_0410,Basis Data - Praktikum,Asprak_5,G1.2,Friday,10:20,12:00
EVT_0439,Pengembangan Aplikasi Web - Praktikum,Asprak_76,G1.3,Monday,07:00,08:40
EVT_0416,Pemrograman Dasar - Praktikum,Asprak_55,G1.3,Monday,08:40,10:20
EVT_0415,Pemrograman Dasar - Praktikum,Asprak_54,G1.3,Monday,10:20,12:00
EVT_0414,Pemrograman Dasar - Praktikum,Asprak_53,G1.3,Tuesday,07:00,08:40
EVT_0413,Pemrograman Dasar - Praktikum,Asprak_52,G1.3,Tuesday,08:40,10:20
