
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 1/300 | Current Best Fitness: 19885 | Violations: 186
POA Generation 2/300 | Current Best Fitness: 19123 | Violations: 179
POA Generation 3/300 | Current Best Fitness: 18076 | Violations: 168
POA Generation 4/300 | Current Best Fitness: 16940 | Violations: 157
POA Generation 5/300 | Current Best Fitness: 16554 | Violations: 153
POA Generation 6/300 | Current Best Fitness: 16065 | Violations: 148
POA Generation 7/300 | Current Best Fitness: 15683 | Violations: 144
POA Generation 8/300 | Current Best Fitness: 15476 | Violations: 142
POA Generation 9/300 | Current Best Fitness: 15368 | Violations: 141
POA Generation 10/300 | Current Best Fitness: 15261 | Violations: 140
POA Generation 11/300 | Current Best Fitness: 15153 | Violations: 139
POA Generation 12/300 | Current Best Fitness: 14951 | Violations: 137
POA Generation 13/300 | Current Best Fitness: 14751 | Violations: 135
POA Generation 14/300 | Current Best Fitness: 14649 | Violations: 134
POA Generation 15/300 | Current Best Fitness: 14538 | Violations: 133
POA Generation 16/300 | Current Best Fitness: 14437 | Violations: 132
POA Generation 17/300 | Current Best Fitness: 14337 | Violations: 131
POA Generation 18/300 | Current Best Fitness: 14137 | Violations: 129
POA Generation 19/300 | Current Best Fitness: 14037 | Violations: 128
POA Generation 20/300 | Current Best Fitness: 13837 | Violations: 126
POA Generation 21/300 | Current Best Fitness: 13737 | Violations: 125
POA Generation 22/300 | Current Best Fitness: 13537 | Violations: 123
POA Generation 23/300 | Current Best Fitness: 13435 | Violations: 122
POA Generation 24/300 | Current Best Fitness: 13235 | Violations: 120
POA Generation 25/300 | Current Best Fitness: 13134 | Violations: 119
POA Generation 26/300 | Current Best Fitness: 13029 | Violations: 118
POA Generation 27/300 | Current Best Fitness: 12929 | Violations: 117
POA Generation 28/300 | Current Best Fitness: 12826 | Violations: 116
POA Generation 29/300 | Current Best Fitness: 12721 | Violations: 115
POA Generation 30/300 | Current Best Fitness: 12526 | Violations: 113
POA Generation 31/300 | Current Best Fitness: 12421 | Violations: 112
POA Generation 32/300 | Current Best Fitness: 12321 | Violations: 111
POA Generation 33/300 | Current Best Fitness: 12221 | Violations: 110
POA Generation 34/300 | Current Best Fitness: 12121 | Violations: 109
POA Generation 35/300 | Current Best Fitness: 11921 | Violations: 107
POA Generation 36/300 | Current Best Fitness: 11819 | Violations: 106
POA Generation 37/300 | Current Best Fitness: 11519 | Violations: 103
POA Generation 38/300 | Current Best Fitness: 11419 | Violations: 102
POA Generation 39/300 | Current Best Fitness: 11319 | Violations: 101
POA Generation 40/300 | Current Best Fitness: 11123 | Violations: 99
POA Generation 41/300 | Current Best Fitness: 11016 | Violations: 98
POA Generation 42/300 | Current Best Fitness: 10816 | Violations: 96
POA Generation 43/300 | Current Best Fitness: 10616 | Violations: 94
POA Generation 44/300 | Current Best Fitness: 10516 | Violations: 93
POA Generation 45/300 | Current Best Fitness: 10416 | Violations: 92
POA Generation 46/300 | Current Best Fitness: 10316 | Violations: 91
