--- Menjalankan Puma Optimization Algorithm ---
POA Generation 1/100 | Best Fitness: 20906 | Hard Violations: 206
POA Generation 2/100 | Best Fitness: 20076 | Hard Violations: 198
POA Generation 3/100 | Best Fitness: 19204 | Hard Violations: 189
POA Generation 4/100 | Best Fitness: 19239 | Hard Violations: 189
POA Generation 5/100 | Best Fitness: 19107 | Hard Violations: 188
POA Generation 6/100 | Best Fitness: 19196 | Hard Violations: 189
POA Generation 7/100 | Best Fitness: 18994 | Hard Violations: 187
POA Generation 8/100 | Best Fitness: 18796 | Hard Violations: 185
POA Generation 9/100 | Best Fitness: 18596 | Hard Violations: 183
POA Generation 10/100 | Best Fitness: 18696 | Hard Violations: 184
POA Generation 11/100 | Best Fitness: 18696 | Hard Violations: 184
POA Generation 12/100 | Best Fitness: 18791 | Hard Violations: 185
POA Generation 13/100 | Best Fitness: 18687 | Hard Violations: 184
POA Generation 14/100 | Best Fitness: 18687 | Hard Violations: 184
POA Generation 15/100 | Best Fitness: 18585 | Hard Violations: 183
POA Generation 16/100 | Best Fitness: 18648 | Hard Violations: 184
POA Generation 17/100 | Best Fitness: 18548 | Hard Violations: 183
POA Generation 18/100 | Best Fitness: 18547 | Hard Violations: 183
POA Generation 19/100 | Best Fitness: 18541 | Hard Violations: 183
POA Generation 20/100 | Best Fitness: 18541 | Hard Violations: 183
POA Generation 21/100 | Best Fitness: 18445 | Hard Violations: 182
POA Generation 22/100 | Best Fitness: 18537 | Hard Violations: 183
POA Generation 23/100 | Best Fitness: 18342 | Hard Violations: 181
POA Generation 24/100 | Best Fitness: 18392 | Hard Violations: 182
POA Generation 25/100 | Best Fitness: 18198 | Hard Violations: 180
POA Generation 26/100 | Best Fitness: 18234 | Hard Violations: 180
POA Generation 27/100 | Best Fitness: 17889 | Hard Violations: 177
POA Generation 28/100 | Best Fitness: 17985 | Hard Violations: 178
POA Generation 29/100 | Best Fitness: 18187 | Hard Violations: 180
POA Generation 30/100 | Best Fitness: 17789 | Hard Violations: 176
POA Generation 31/100 | Best Fitness: 17686 | Hard Violations: 175
POA Generation 32/100 | Best Fitness: 17689 | Hard Violations: 175
POA Generation 33/100 | Best Fitness: 17789 | Hard Violations: 176
POA Generation 34/100 | Best Fitness: 17791 | Hard Violations: 176
POA Generation 35/100 | Best Fitness: 17797 | Hard Violations: 176
POA Generation 36/100 | Best Fitness: 17792 | Hard Violations: 176
POA Generation 37/100 | Best Fitness: 17690 | Hard Violations: 175
POA Generation 38/100 | Best Fitness: 17690 | Hard Violations: 175
POA Generation 39/100 | Best Fitness: 17498 | Hard Violations: 173
POA Generation 40/100 | Best Fitness: 17223 | Hard Violations: 170
POA Generation 41/100 | Best Fitness: 17223 | Hard Violations: 170
POA Generation 42/100 | Best Fitness: 17223 | Hard Violations: 170
POA Generation 43/100 | Best Fitness: 17223 | Hard Violations: 170
POA Generation 44/100 | Best Fitness: 17257 | Hard Violations: 170
POA Generation 45/100 | Best Fitness: 17231 | Hard Violations: 170
POA Generation 46/100 | Best Fitness: 17031 | Hard Violations: 168
POA Generation 47/100 | Best Fitness: 16955 | Hard Violations: 167
POA Generation 48/100 | Best Fitness: 16927 | Hard Violations: 167
POA Generation 49/100 | Best Fitness: 17033 | Hard Violations: 168
POA Generation 50/100 | Best Fitness: 17433 | Hard Violations: 172
POA Generation 51/100 | Best Fitness: 17431 | Hard Violations: 172
POA Generation 52/100 | Best Fitness: 17531 | Hard Violations: 173
POA Generation 53/100 | Best Fitness: 17251 | Hard Violations: 170
POA Generation 54/100 | Best Fitness: 17129 | Hard Violations: 169
POA Generation 55/100 | Best Fitness: 17122 | Hard Violations: 169
POA Generation 56/100 | Best Fitness: 17116 | Hard Violations: 169
POA Generation 57/100 | Best Fitness: 17116 | Hard Violations: 169
POA Generation 58/100 | Best Fitness: 17129 | Hard Violations: 169
POA Generation 59/100 | Best Fitness: 17032 | Hard Violations: 168
POA Generation 60/100 | Best Fitness: 16940 | Hard Violations: 167
POA Generation 61/100 | Best Fitness: 17133 | Hard Violations: 169
POA Generation 62/100 | Best Fitness: 17231 | Hard Violations: 170
POA Generation 63/100 | Best Fitness: 16933 | Hard Violations: 167
POA Generation 64/100 | Best Fitness: 16899 | Hard Violations: 167
POA Generation 65/100 | Best Fitness: 16997 | Hard Violations: 168
POA Generation 66/100 | Best Fitness: 16999 | Hard Violations: 168
POA Generation 67/100 | Best Fitness: 16999 | Hard Violations: 168
POA Generation 68/100 | Best Fitness: 16897 | Hard Violations: 167
POA Generation 69/100 | Best Fitness: 17002 | Hard Violations: 168
POA Generation 70/100 | Best Fitness: 16995 | Hard Violations: 168
POA Generation 71/100 | Best Fitness: 17043 | Hard Violations: 168
POA Generation 72/100 | Best Fitness: 17025 | Hard Violations: 168
POA Generation 73/100 | Best Fitness: 16832 | Hard Violations: 166
POA Generation 74/100 | Best Fitness: 16940 | Hard Violations: 167
POA Generation 75/100 | Best Fitness: 16866 | Hard Violations: 166
POA Generation 76/100 | Best Fitness: 16840 | Hard Violations: 166
POA Generation 77/100 | Best Fitness: 16820 | Hard Violations: 166
POA Generation 78/100 | Best Fitness: 16940 | Hard Violations: 167
POA Generation 79/100 | Best Fitness: 16820 | Hard Violations: 166
POA Generation 80/100 | Best Fitness: 16818 | Hard Violations: 166
POA Generation 81/100 | Best Fitness: 16918 | Hard Violations: 167
POA Generation 82/100 | Best Fitness: 17118 | Hard Violations: 169
POA Generation 83/100 | Best Fitness: 17118 | Hard Violations: 169
POA Generation 84/100 | Best Fitness: 17020 | Hard Violations: 168
POA Generation 85/100 | Best Fitness: 17022 | Hard Violations: 168
POA Generation 86/100 | Best Fitness: 17254 | Hard Violations: 170
POA Generation 87/100 | Best Fitness: 16952 | Hard Violations: 167
POA Generation 88/100 | Best Fitness: 16950 | Hard Violations: 167
POA Generation 89/100 | Best Fitness: 16752 | Hard Violations: 165
POA Generation 90/100 | Best Fitness: 16828 | Hard Violations: 166
POA Generation 91/100 | Best Fitness: 16728 | Hard Violations: 165
