
--- Menjalankan Particle Swarm Optimization ---
PSO Iteration 1/200 | Best Fitness: 20513
PSO Iteration 2/200 | Best Fitness: 20513
PSO Iteration 3/200 | Best Fitness: 20513
PSO Iteration 4/200 | Best Fitness: 20513
PSO Iteration 5/200 | Best Fitness: 20513
PSO Iteration 6/200 | Best Fitness: 20513
PSO Iteration 7/200 | Best Fitness: 20513
PSO Iteration 8/200 | Best Fitness: 20513
PSO Iteration 9/200 | Best Fitness: 20513
PSO Iteration 10/200 | Best Fitness: 20513
PSO Iteration 11/200 | Best Fitness: 20513
PSO Iteration 12/200 | Best Fitness: 20513
PSO Iteration 13/200 | Best Fitness: 20513
PSO Iteration 14/200 | Best Fitness: 20513
PSO Iteration 15/200 | Best Fitness: 20513
PSO Iteration 16/200 | Best Fitness: 20513
PSO Iteration 17/200 | Best Fitness: 20513
PSO Iteration 18/200 | Best Fitness: 20513
PSO Iteration 19/200 | Best Fitness: 20513
PSO Iteration 20/200 | Best Fitness: 20513
PSO Iteration 21/200 | Best Fitness: 20513
PSO Iteration 22/200 | Best Fitness: 20513
PSO Iteration 23/200 | Best Fitness: 20513
PSO Iteration 24/200 | Best Fitness: 20513
PSO Iteration 25/200 | Best Fitness: 20513
PSO Iteration 26/200 | Best Fitness: 20513
PSO Iteration 27/200 | Best Fitness: 20513
PSO Iteration 28/200 | Best Fitness: 20513
PSO Iteration 29/200 | Best Fitness: 20513
PSO Iteration 30/200 | Best Fitness: 20513
PSO Iteration 31/200 | Best Fitness: 20513
PSO Iteration 32/200 | Best Fitness: 20513
PSO Iteration 33/200 | Best Fitness: 20513
PSO Iteration 34/200 | Best Fitness: 20513
PSO Iteration 35/200 | Best Fitness: 20513
PSO Iteration 36/200 | Best Fitness: 20513
PSO Iteration 37/200 | Best Fitness: 20513
PSO Iteration 38/200 | Best Fitness: 20513
PSO Iteration 39/200 | Best Fitness: 20513
PSO Iteration 40/200 | Best Fitness: 20513
PSO Iteration 41/200 | Best Fitness: 20513
PSO Iteration 42/200 | Best Fitness: 20513
PSO Iteration 43/200 | Best Fitness: 20513
PSO Iteration 44/200 | Best Fitness: 20513
PSO Iteration 45/200 | Best Fitness: 20513
PSO Iteration 46/200 | Best Fitness: 20513
PSO Iteration 47/200 | Best Fitness: 20513
PSO Iteration 48/200 | Best Fitness: 20513
PSO Iteration 49/200 | Best Fitness: 20513
PSO Iteration 50/200 | Best Fitness: 20513
PSO Iteration 51/200 | Best Fitness: 20513
PSO Iteration 52/200 | Best Fitness: 20513
PSO Iteration 53/200 | Best Fitness: 20513
PSO Iteration 54/200 | Best Fitness: 20513
PSO Iteration 55/200 | Best Fitness: 20513
PSO Iteration 56/200 | Best Fitness: 20513
PSO Iteration 57/200 | Best Fitness: 20513
PSO Iteration 58/200 | Best Fitness: 20513
PSO Iteration 59/200 | Best Fitness: 20513
PSO Iteration 60/200 | Best Fitness: 20513
PSO Iteration 61/200 | Best Fitness: 20513
PSO Iteration 62/200 | Best Fitness: 20513
PSO Iteration 63/200 | Best Fitness: 20513
PSO Iteration 64/200 | Best Fitness: 20513
PSO Iteration 65/200 | Best Fitness: 20513
PSO Iteration 66/200 | Best Fitness: 20513
PSO Iteration 67/200 | Best Fitness: 20513
PSO Iteration 68/200 | Best Fitness: 20513
PSO Iteration 69/200 | Best Fitness: 20513
PSO Iteration 70/200 | Best Fitness: 20513
PSO Iteration 71/200 | Best Fitness: 20513
PSO Iteration 72/200 | Best Fitness: 20513
PSO Iteration 73/200 | Best Fitness: 20513
PSO Iteration 74/200 | Best Fitness: 20513
PSO Iteration 75/200 | Best Fitness: 20513
PSO Iteration 76/200 | Best Fitness: 20513
PSO Iteration 77/200 | Best Fitness: 20513
PSO Iteration 78/200 | Best Fitness: 20513
PSO Iteration 79/200 | Best Fitness: 20513
PSO Iteration 80/200 | Best Fitness: 20513
PSO Iteration 81/200 | Best Fitness: 20513
PSO Iteration 82/200 | Best Fitness: 20513
PSO Iteration 83/200 | Best Fitness: 20513
PSO Iteration 84/200 | Best Fitness: 20513
PSO Iteration 85/200 | Best Fitness: 20513
PSO Iteration 86/200 | Best Fitness: 20513
PSO Iteration 87/200 | Best Fitness: 20513
PSO Iteration 88/200 | Best Fitness: 20513
PSO Iteration 89/200 | Best Fitness: 20513
PSO Iteration 90/200 | Best Fitness: 20513
PSO Iteration 91/200 | Best Fitness: 20513
PSO Iteration 92/200 | Best Fitness: 20513
PSO Iteration 93/200 | Best Fitness: 20513
PSO Iteration 94/200 | Best Fitness: 20513
PSO Iteration 95/200 | Best Fitness: 20513
PSO Iteration 96/200 | Best Fitness: 20513
PSO Iteration 97/200 | Best Fitness: 20513
PSO Iteration 98/200 | Best Fitness: 20513
PSO Iteration 99/200 | Best Fitness: 20513
PSO Iteration 100/200 | Best Fitness: 20513
PSO Iteration 101/200 | Best Fitness: 20513
PSO Iteration 102/200 | Best Fitness: 20513
PSO Iteration 103/200 | Best Fitness: 20513
PSO Iteration 104/200 | Best Fitness: 20513
PSO Iteration 105/200 | Best Fitness: 20513
PSO Iteration 106/200 | Best Fitness: 20513
PSO Iteration 107/200 | Best Fitness: 20513
PSO Iteration 108/200 | Best Fitness: 20513
PSO Iteration 109/200 | Best Fitness: 20513
PSO Iteration 110/200 | Best Fitness: 20513
PSO Iteration 111/200 | Best Fitness: 20513
PSO Iteration 112/200 | Best Fitness: 20513
PSO Iteration 113/200 | Best Fitness: 20513
PSO Iteration 114/200 | Best Fitness: 20513
PSO Iteration 115/200 | Best Fitness: 20513
PSO Iteration 116/200 | Best Fitness: 20513
PSO Iteration 117/200 | Best Fitness: 20513
PSO Iteration 118/200 | Best Fitness: 20513
PSO Iteration 119/200 | Best Fitness: 20513
