--- Menjalankan Artificial Bee Colony Optimization ---
ABC Iteration 1/100 | Best Fitness: 20079 
ABC Iteration 2/100 | Best Fitness: 20077 
ABC Iteration 3/100 | Best Fitness: 20077 
ABC Iteration 4/100 | Best Fitness: 20071 
ABC Iteration 5/100 | Best Fitness: 20071 
ABC Iteration 6/100 | Best Fitness: 19996 
ABC Iteration 7/100 | Best Fitness: 19896 
ABC Iteration 8/100 | Best Fitness: 19782 
ABC Iteration 9/100 | Best Fitness: 19782 
ABC Iteration 10/100 | Best Fitness: 19782 
ABC Iteration 11/100 | Best Fitness: 19676 
ABC Iteration 12/100 | Best Fitness: 19493 
ABC Iteration 13/100 | Best Fitness: 19385 
ABC Iteration 14/100 | Best Fitness: 19385 
ABC Iteration 15/100 | Best Fitness: 19285 
ABC Iteration 16/100 | Best Fitness: 19083 
ABC Iteration 17/100 | Best Fitness: 18685 
ABC Iteration 18/100 | Best Fitness: 18685 
ABC Iteration 19/100 | Best Fitness: 18662 
ABC Iteration 20/100 | Best Fitness: 18662 
ABC Iteration 21/100 | Best Fitness: 18555 
ABC Iteration 22/100 | Best Fitness: 18555 
ABC Iteration 23/100 | Best Fitness: 18457 
ABC Iteration 24/100 | Best Fitness: 18285 
ABC Iteration 25/100 | Best Fitness: 18285 
ABC Iteration 26/100 | Best Fitness: 18285 
ABC Iteration 27/100 | Best Fitness: 18182 
ABC Iteration 28/100 | Best Fitness: 18182 
ABC Iteration 29/100 | Best Fitness: 18182 
ABC Iteration 30/100 | Best Fitness: 18060 
ABC Iteration 31/100 | Best Fitness: 18058 
ABC Iteration 32/100 | Best Fitness: 17958 
ABC Iteration 33/100 | Best Fitness: 17958 
ABC Iteration 34/100 | Best Fitness: 17899 
ABC Iteration 35/100 | Best Fitness: 17899 
ABC Iteration 36/100 | Best Fitness: 17899 
ABC Iteration 37/100 | Best Fitness: 17899 
ABC Iteration 38/100 | Best Fitness: 17899 
ABC Iteration 39/100 | Best Fitness: 17799 
ABC Iteration 40/100 | Best Fitness: 17799 
ABC Iteration 41/100 | Best Fitness: 17799 
ABC Iteration 42/100 | Best Fitness: 17799 
ABC Iteration 43/100 | Best Fitness: 17799 
ABC Iteration 44/100 | Best Fitness: 17799 
ABC Iteration 45/100 | Best Fitness: 17788 
ABC Iteration 46/100 | Best Fitness: 17788 
ABC Iteration 47/100 | Best Fitness: 17278 
ABC Iteration 48/100 | Best Fitness: 17178 
ABC Iteration 49/100 | Best Fitness: 17176 
ABC Iteration 50/100 | Best Fitness: 17176 
ABC Iteration 51/100 | Best Fitness: 17176 
ABC Iteration 52/100 | Best Fitness: 17176 
ABC Iteration 53/100 | Best Fitness: 17176 
ABC Iteration 54/100 | Best Fitness: 17176 
ABC Iteration 55/100 | Best Fitness: 17176 
ABC Iteration 56/100 | Best Fitness: 17176 
ABC Iteration 57/100 | Best Fitness: 17176 
ABC Iteration 58/100 | Best Fitness: 17076 
ABC Iteration 59/100 | Best Fitness: 17076 
ABC Iteration 60/100 | Best Fitness: 17068 
ABC Iteration 61/100 | Best Fitness: 16968 
ABC Iteration 62/100 | Best Fitness: 16960 
ABC Iteration 63/100 | Best Fitness: 16960 
ABC Iteration 64/100 | Best Fitness: 16860 
ABC Iteration 65/100 | Best Fitness: 16860 
ABC Iteration 66/100 | Best Fitness: 16860 
ABC Iteration 67/100 | Best Fitness: 16860 
ABC Iteration 68/100 | Best Fitness: 16860 
ABC Iteration 69/100 | Best Fitness: 16815 
ABC Iteration 70/100 | Best Fitness: 16813 
ABC Iteration 71/100 | Best Fitness: 16813 
ABC Iteration 72/100 | Best Fitness: 16813 
ABC Iteration 73/100 | Best Fitness: 16562 
ABC Iteration 74/100 | Best Fitness: 16562 
ABC Iteration 75/100 | Best Fitness: 16562 
ABC Iteration 76/100 | Best Fitness: 16562 
ABC Iteration 77/100 | Best Fitness: 16562 
ABC Iteration 78/100 | Best Fitness: 16456 
ABC Iteration 79/100 | Best Fitness: 16456 
ABC Iteration 80/100 | Best Fitness: 16456 
ABC Iteration 81/100 | Best Fitness: 16325 
ABC Iteration 82/100 | Best Fitness: 16323 
ABC Iteration 83/100 | Best Fitness: 16146 
ABC Iteration 84/100 | Best Fitness: 16123 
ABC Iteration 85/100 | Best Fitness: 16123 
ABC Iteration 86/100 | Best Fitness: 16123 
ABC Iteration 87/100 | Best Fitness: 16117 
ABC Iteration 88/100 | Best Fitness: 15904 
ABC Iteration 89/100 | Best Fitness: 15903 
ABC Iteration 90/100 | Best Fitness: 15903 
ABC Iteration 91/100 | Best Fitness: 15903 
ABC Iteration 92/100 | Best Fitness: 15903 
ABC Iteration 93/100 | Best Fitness: 15827 
ABC Iteration 94/100 | Best Fitness: 15827 
ABC Iteration 95/100 | Best Fitness: 15827 
ABC Iteration 96/100 | Best Fitness: 15727 
ABC Iteration 97/100 | Best Fitness: 15708 
ABC Iteration 98/100 | Best Fitness: 15708 
ABC Iteration 99/100 | Best Fitness: 15708 
ABC Iteration 100/100 | Best Fitness: 15700 

--- Hasil ABC ---
Skor Fitness Terbaik: 15700
Jumlah Pelanggaran Hard Constraint: 154
Jadwal terbaik dari ABC disimpan sebagai 'jadwal_abc.csv'
