--- Menjalankan Ant Colony Optimization ---
ACO Iteration 1/200 | Best Fitness: 20764
ACO Iteration 2/200 | Best Fitness: 20469
ACO Iteration 3/200 | Best Fitness: 20335
ACO Iteration 4/200 | Best Fitness: 20335
ACO Iteration 5/200 | Best Fitness: 20335
ACO Iteration 6/200 | Best Fitness: 20335
ACO Iteration 7/200 | Best Fitness: 20335
ACO Iteration 8/200 | Best Fitness: 20335
ACO Iteration 9/200 | Best Fitness: 20335
ACO Iteration 10/200 | Best Fitness: 20335
ACO Iteration 11/200 | Best Fitness: 20335
ACO Iteration 12/200 | Best Fitness: 20335
ACO Iteration 13/200 | Best Fitness: 20335
ACO Iteration 14/200 | Best Fitness: 19616
ACO Iteration 15/200 | Best Fitness: 19616
ACO Iteration 16/200 | Best Fitness: 19616
ACO Iteration 17/200 | Best Fitness: 19616
ACO Iteration 18/200 | Best Fitness: 19616
ACO Iteration 19/200 | Best Fitness: 19616
ACO Iteration 20/200 | Best Fitness: 19616
ACO Iteration 21/200 | Best Fitness: 19616
ACO Iteration 22/200 | Best Fitness: 19616
ACO Iteration 23/200 | Best Fitness: 19616
ACO Iteration 24/200 | Best Fitness: 19616
ACO Iteration 25/200 | Best Fitness: 19616
ACO Iteration 26/200 | Best Fitness: 19616
ACO Iteration 27/200 | Best Fitness: 19616
ACO Iteration 28/200 | Best Fitness: 19616
ACO Iteration 29/200 | Best Fitness: 19616
ACO Iteration 30/200 | Best Fitness: 19616
ACO Iteration 31/200 | Best Fitness: 19616
ACO Iteration 32/200 | Best Fitness: 19616
ACO Iteration 33/200 | Best Fitness: 19616
ACO Iteration 34/200 | Best Fitness: 19616
ACO Iteration 35/200 | Best Fitness: 19616
ACO Iteration 36/200 | Best Fitness: 19616
ACO Iteration 37/200 | Best Fitness: 19616
ACO Iteration 38/200 | Best Fitness: 19616
ACO Iteration 39/200 | Best Fitness: 19294
ACO Iteration 40/200 | Best Fitness: 19294
ACO Iteration 41/200 | Best Fitness: 19294
ACO Iteration 42/200 | Best Fitness: 19294
ACO Iteration 43/200 | Best Fitness: 19294
ACO Iteration 44/200 | Best Fitness: 19294
ACO Iteration 45/200 | Best Fitness: 19294
ACO Iteration 46/200 | Best Fitness: 19294
ACO Iteration 47/200 | Best Fitness: 19294
ACO Iteration 48/200 | Best Fitness: 19294
ACO Iteration 49/200 | Best Fitness: 19294
ACO Iteration 50/200 | Best Fitness: 19294
ACO Iteration 51/200 | Best Fitness: 19294
ACO Iteration 52/200 | Best Fitness: 19294
ACO Iteration 53/200 | Best Fitness: 19294
ACO Iteration 54/200 | Best Fitness: 19294
ACO Iteration 55/200 | Best Fitness: 19294
ACO Iteration 56/200 | Best Fitness: 19294
ACO Iteration 57/200 | Best Fitness: 19294
ACO Iteration 58/200 | Best Fitness: 19294
ACO Iteration 59/200 | Best Fitness: 19294
ACO Iteration 60/200 | Best Fitness: 19294
ACO Iteration 61/200 | Best Fitness: 19294
ACO Iteration 62/200 | Best Fitness: 19294
ACO Iteration 63/200 | Best Fitness: 19294
ACO Iteration 64/200 | Best Fitness: 19294
ACO Iteration 65/200 | Best Fitness: 19294
ACO Iteration 66/200 | Best Fitness: 19294
ACO Iteration 67/200 | Best Fitness: 19294
ACO Iteration 68/200 | Best Fitness: 19294
ACO Iteration 69/200 | Best Fitness: 19294
ACO Iteration 70/200 | Best Fitness: 19294
ACO Iteration 71/200 | Best Fitness: 19294
ACO Iteration 72/200 | Best Fitness: 19294
ACO Iteration 73/200 | Best Fitness: 19294
ACO Iteration 74/200 | Best Fitness: 19294
ACO Iteration 75/200 | Best Fitness: 19294
ACO Iteration 76/200 | Best Fitness: 19294
ACO Iteration 77/200 | Best Fitness: 19294
ACO Iteration 78/200 | Best Fitness: 19294
ACO Iteration 79/200 | Best Fitness: 19294
ACO Iteration 80/200 | Best Fitness: 19294
ACO Iteration 81/200 | Best Fitness: 19294
ACO Iteration 82/200 | Best Fitness: 19294
ACO Iteration 83/200 | Best Fitness: 19294
ACO Iteration 84/200 | Best Fitness: 19294
ACO Iteration 85/200 | Best Fitness: 19294
ACO Iteration 86/200 | Best Fitness: 19294
ACO Iteration 87/200 | Best Fitness: 19294
ACO Iteration 88/200 | Best Fitness: 19294
ACO Iteration 89/200 | Best Fitness: 19294
ACO Iteration 90/200 | Best Fitness: 19294
ACO Iteration 91/200 | Best Fitness: 19294
ACO Iteration 92/200 | Best Fitness: 19294
ACO Iteration 93/200 | Best Fitness: 19294
ACO Iteration 94/200 | Best Fitness: 19294
ACO Iteration 95/200 | Best Fitness: 19294
ACO Iteration 96/200 | Best Fitness: 19294
ACO Iteration 97/200 | Best Fitness: 19294
ACO Iteration 98/200 | Best Fitness: 19294
ACO Iteration 99/200 | Best Fitness: 19294
ACO Iteration 100/200 | Best Fitness: 19294
ACO Iteration 101/200 | Best Fitness: 19294
ACO Iteration 102/200 | Best Fitness: 19294
ACO Iteration 103/200 | Best Fitness: 19294
ACO Iteration 104/200 | Best Fitness: 19294
ACO Iteration 105/200 | Best Fitness: 19294
ACO Iteration 106/200 | Best Fitness: 19294
ACO Iteration 107/200 | Best Fitness: 19294
ACO Iteration 108/200 | Best Fitness: 19294
ACO Iteration 109/200 | Best Fitness: 19294
ACO Iteration 110/200 | Best Fitness: 19294
ACO Iteration 111/200 | Best Fitness: 19294
ACO Iteration 112/200 | Best Fitness: 19294
ACO Iteration 113/200 | Best Fitness: 19294
ACO Iteration 114/200 | Best Fitness: 19294
ACO Iteration 115/200 | Best Fitness: 19294
ACO Iteration 116/200 | Best Fitness: 19294
ACO Iteration 117/200 | Best Fitness: 19294
ACO Iteration 118/200 | Best Fitness: 19294
ACO Iteration 119/200 | Best Fitness: 19294
ACO Iteration 120/200 | Best Fitness: 19294
ACO Iteration 121/200 | Best Fitness: 19294
ACO Iteration 122/200 | Best Fitness: 19294
ACO Iteration 123/200 | Best Fitness: 19294
ACO Iteration 124/200 | Best Fitness: 19294
ACO Iteration 125/200 | Best Fitness: 19294
ACO Iteration 126/200 | Best Fitness: 19294
ACO Iteration 127/200 | Best Fitness: 19294
ACO Iteration 128/200 | Best Fitness: 19294
ACO Iteration 129/200 | Best Fitness: 19294
ACO Iteration 130/200 | Best Fitness: 19294
ACO Iteration 131/200 | Best Fitness: 19294
ACO Iteration 132/200 | Best Fitness: 19294
ACO Iteration 133/200 | Best Fitness: 19294
ACO Iteration 134/200 | Best Fitness: 19294
ACO Iteration 135/200 | Best Fitness: 19294
ACO Iteration 136/200 | Best Fitness: 19294
ACO Iteration 137/200 | Best Fitness: 19294
ACO Iteration 138/200 | Best Fitness: 19294
ACO Iteration 139/200 | Best Fitness: 19294
ACO Iteration 140/200 | Best Fitness: 19294
ACO Iteration 141/200 | Best Fitness: 19294
ACO Iteration 142/200 | Best Fitness: 19294
ACO Iteration 143/200 | Best Fitness: 19294
ACO Iteration 144/200 | Best Fitness: 19294
ACO Iteration 145/200 | Best Fitness: 18785
ACO Iteration 146/200 | Best Fitness: 18785
ACO Iteration 147/200 | Best Fitness: 18785
