
--- Menjalankan Puma Optimization Algorithm ---
POA Generation 1/200 | Best Fitness: 20548 | Hard Violations: 202
POA Generation 2/200 | Best Fitness: 20013 | Hard Violations: 197
POA Generation 3/200 | Best Fitness: 19538 | Hard Violations: 192
POA Generation 4/200 | Best Fitness: 18750 | Hard Violations: 184
POA Generation 5/200 | Best Fitness: 19419 | Hard Violations: 191
POA Generation 6/200 | Best Fitness: 19328 | Hard Violations: 190
POA Generation 7/200 | Best Fitness: 19389 | Hard Violations: 191
POA Generation 8/200 | Best Fitness: 19204 | Hard Violations: 189
POA Generation 9/200 | Best Fitness: 19301 | Hard Violations: 190
POA Generation 10/200 | Best Fitness: 18993 | Hard Violations: 187
POA Generation 11/200 | Best Fitness: 18789 | Hard Violations: 185
POA Generation 12/200 | Best Fitness: 18701 | Hard Violations: 184
POA Generation 13/200 | Best Fitness: 18693 | Hard Violations: 184
POA Generation 14/200 | Best Fitness: 18509 | Hard Violations: 182
POA Generation 15/200 | Best Fitness: 18625 | Hard Violations: 183
POA Generation 16/200 | Best Fitness: 18534 | Hard Violations: 182
POA Generation 17/200 | Best Fitness: 18534 | Hard Violations: 182
POA Generation 18/200 | Best Fitness: 18251 | Hard Violations: 179
POA Generation 19/200 | Best Fitness: 18169 | Hard Violations: 178
POA Generation 20/200 | Best Fitness: 17886 | Hard Violations: 175
POA Generation 21/200 | Best Fitness: 17765 | Hard Violations: 174
POA Generation 22/200 | Best Fitness: 17761 | Hard Violations: 174
POA Generation 23/200 | Best Fitness: 17545 | Hard Violations: 172
POA Generation 24/200 | Best Fitness: 17543 | Hard Violations: 172
POA Generation 25/200 | Best Fitness: 17241 | Hard Violations: 169
POA Generation 26/200 | Best Fitness: 17241 | Hard Violations: 169
POA Generation 27/200 | Best Fitness: 17248 | Hard Violations: 169
POA Generation 28/200 | Best Fitness: 17250 | Hard Violations: 169
POA Generation 29/200 | Best Fitness: 17243 | Hard Violations: 169
POA Generation 30/200 | Best Fitness: 16939 | Hard Violations: 166
POA Generation 31/200 | Best Fitness: 17389 | Hard Violations: 170
POA Generation 32/200 | Best Fitness: 17294 | Hard Violations: 169
POA Generation 33/200 | Best Fitness: 17080 | Hard Violations: 167
POA Generation 34/200 | Best Fitness: 17367 | Hard Violations: 170
POA Generation 35/200 | Best Fitness: 17065 | Hard Violations: 167
POA Generation 36/200 | Best Fitness: 17171 | Hard Violations: 168
POA Generation 37/200 | Best Fitness: 17167 | Hard Violations: 168
POA Generation 38/200 | Best Fitness: 17167 | Hard Violations: 168
POA Generation 39/200 | Best Fitness: 17157 | Hard Violations: 168
POA Generation 40/200 | Best Fitness: 17150 | Hard Violations: 168
POA Generation 41/200 | Best Fitness: 17150 | Hard Violations: 168
POA Generation 42/200 | Best Fitness: 16748 | Hard Violations: 164
POA Generation 43/200 | Best Fitness: 16641 | Hard Violations: 163
POA Generation 44/200 | Best Fitness: 16830 | Hard Violations: 165
POA Generation 45/200 | Best Fitness: 16840 | Hard Violations: 165
POA Generation 46/200 | Best Fitness: 16640 | Hard Violations: 163
POA Generation 47/200 | Best Fitness: 16650 | Hard Violations: 163
POA Generation 48/200 | Best Fitness: 16747 | Hard Violations: 164
POA Generation 49/200 | Best Fitness: 17251 | Hard Violations: 169
POA Generation 50/200 | Best Fitness: 17052 | Hard Violations: 167
POA Generation 51/200 | Best Fitness: 16841 | Hard Violations: 165
POA Generation 52/200 | Best Fitness: 16754 | Hard Violations: 164
POA Generation 53/200 | Best Fitness: 16750 | Hard Violations: 164
POA Generation 54/200 | Best Fitness: 16756 | Hard Violations: 164
POA Generation 55/200 | Best Fitness: 16865 | Hard Violations: 165
POA Generation 56/200 | Best Fitness: 16867 | Hard Violations: 165
POA Generation 57/200 | Best Fitness: 16884 | Hard Violations: 165
POA Generation 58/200 | Best Fitness: 17305 | Hard Violations: 169
POA Generation 59/200 | Best Fitness: 17199 | Hard Violations: 168
POA Generation 60/200 | Best Fitness: 17091 | Hard Violations: 167
POA Generation 61/200 | Best Fitness: 17290 | Hard Violations: 169
POA Generation 62/200 | Best Fitness: 17057 | Hard Violations: 167
POA Generation 63/200 | Best Fitness: 17450 | Hard Violations: 171
POA Generation 64/200 | Best Fitness: 17242 | Hard Violations: 169
POA Generation 65/200 | Best Fitness: 17231 | Hard Violations: 169
POA Generation 66/200 | Best Fitness: 17239 | Hard Violations: 169
POA Generation 67/200 | Best Fitness: 17440 | Hard Violations: 171
POA Generation 68/200 | Best Fitness: 17619 | Hard Violations: 173
POA Generation 69/200 | Best Fitness: 17326 | Hard Violations: 170
POA Generation 70/200 | Best Fitness: 17455 | Hard Violations: 171
POA Generation 71/200 | Best Fitness: 17153 | Hard Violations: 168
POA Generation 72/200 | Best Fitness: 17345 | Hard Violations: 170
POA Generation 73/200 | Best Fitness: 17151 | Hard Violations: 168
POA Generation 74/200 | Best Fitness: 17129 | Hard Violations: 168
POA Generation 75/200 | Best Fitness: 17115 | Hard Violations: 168
POA Generation 76/200 | Best Fitness: 17087 | Hard Violations: 168
POA Generation 77/200 | Best Fitness: 16978 | Hard Violations: 167
POA Generation 78/200 | Best Fitness: 16975 | Hard Violations: 167
POA Generation 79/200 | Best Fitness: 17072 | Hard Violations: 168
POA Generation 80/200 | Best Fitness: 17144 | Hard Violations: 168
POA Generation 81/200 | Best Fitness: 17054 | Hard Violations: 167
POA Generation 82/200 | Best Fitness: 17157 | Hard Violations: 168
POA Generation 83/200 | Best Fitness: 17237 | Hard Violations: 169
POA Generation 84/200 | Best Fitness: 17053 | Hard Violations: 167
POA Generation 85/200 | Best Fitness: 17353 | Hard Violations: 170
POA Generation 86/200 | Best Fitness: 17182 | Hard Violations: 168
POA Generation 87/200 | Best Fitness: 17151 | Hard Violations: 168
POA Generation 88/200 | Best Fitness: 17129 | Hard Violations: 168
POA Generation 89/200 | Best Fitness: 16929 | Hard Violations: 166
POA Generation 90/200 | Best Fitness: 16997 | Hard Violations: 167
POA Generation 91/200 | Best Fitness: 17011 | Hard Violations: 167
POA Generation 92/200 | Best Fitness: 17218 | Hard Violations: 169
