iterations,fitness,violations
1,2005,17
2,1300,10
3,1201,9
4,897,6
5,895,6
6,893,6
7,893,6
8,893,6
9,893,6
10,887,6
11,887,6
12,798,5
13,792,5
14,692,4
15,692,4
16,692,4
17,692,4
18,692,4
19,692,4
20,687,4
21,687,4
22,687,4
23,687,4
24,587,3
25,587,3
26,587,3
27,585,3
28,577,3
29,577,3
30,577,3
31,577,3
32,577,3
33,577,3
34,577,3
35,577,3
36,577,3
37,577,3
38,577,3
39,577,3
40,573,3
41,573,3
42,573,3
43,573,3
44,573,3
45,573,3
46,573,3
47,573,3
48,573,3
49,473,2
50,473,2
51,473,2
52,473,2
53,459,2
54,459,2
55,459,2
56,459,2
57,459,2
58,459,2
59,459,2
60,459,2
61,457,2
62,457,2
63,457,2
64,457,2
65,457,2
66,455,2
67,455,2
68,455,2
69,455,2
70,455,2
71,455,2
72,455,2
73,455,2
74,455,2
75,455,2
76,455,2
77,455,2
78,455,2
79,455,2
80,455,2
81,455,2
82,455,2
83,455,2
84,455,2
85,455,2
86,455,2
87,455,2
88,455,2
89,455,2
90,455,2
91,455,2
92,455,2
93,455,2
94,455,2
95,455,2
96,455,2
97,455,2
98,455,2
99,455,2
100,455,2
