iterations,fitness,violations
1,1894,16
2,1888,16
3,1888,16
4,1757,15
5,1703,14
6,1703,14
7,1595,13
8,1595,13
9,1595,13
10,1595,13
11,1595,13
12,1595,13
13,1595,13
14,1595,13
15,1595,13
16,1595,13
17,1595,13
18,1595,13
19,1595,13
20,1595,13
21,1595,13
22,1595,13
23,1595,13
24,1595,13
25,1595,13
26,1595,13
27,1595,13
28,1595,13
29,1595,13
30,1595,13
31,1595,13
32,1595,13
33,1595,13
34,1595,13
35,1595,13
36,1595,13
37,1595,13
38,1595,13
39,1595,13
40,1595,13
41,1595,13
42,1595,13
43,1595,13
44,1595,13
45,1595,13
46,1595,13
47,1595,13
48,1595,13
49,1595,13
50,1595,13
51,1595,13
52,1595,13
53,1595,13
54,1595,13
55,1595,13
56,1595,13
57,1595,13
58,1595,13
59,1595,13
60,1595,13
61,1595,13
62,1595,13
63,1595,13
64,1595,13
65,1595,13
66,1595,13
67,1595,13
68,1595,13
69,1595,13
70,1595,13
71,1595,13
72,1595,13
73,1595,13
74,1595,13
75,1595,13
76,1595,13
77,1595,13
78,1595,13
79,1595,13
80,1595,13
81,1595,13
82,1595,13
83,1595,13
84,1595,13
85,1595,13
86,1595,13
87,1595,13
88,1595,13
89,1595,13
90,1595,13
91,1595,13
92,1595,13
93,1595,13
94,1595,13
95,1595,13
96,1595,13
97,1595,13
98,1595,13
99,1595,13
100,1595,13
