iterations,fitness,violations
1,1899,16
2,1899,16
3,1899,16
4,1799,17
5,1799,17
6,1699,17
7,1699,17
8,1699,17
9,1699,17
10,1699,17
11,1699,17
12,1690,16
13,1690,16
14,1590,16
15,1590,16
16,1490,16
17,1490,16
18,1490,16
19,1490,16
20,1490,16
21,1390,16
22,1298,16
23,1298,16
24,1298,16
25,1298,16
26,1298,16
27,1192,16
28,1192,16
29,1189,16
30,1189,16
31,1089,16
32,1089,16
33,1089,16
34,1089,16
35,1089,16
36,1089,16
37,1089,16
38,1089,16
39,1089,16
40,1089,16
41,1089,16
42,1089,16
43,1089,16
44,1089,16
45,1089,16
46,1083,22
47,1083,22
48,1083,22
49,1083,22
50,1083,22
51,1083,22
52,1076,22
53,976,22
54,976,22
55,976,22
56,976,22
57,880,22
58,880,22
59,880,22
60,880,22
61,880,22
62,880,22
63,880,22
64,880,22
65,880,22
66,880,22
67,880,22
68,880,22
69,880,22
70,880,22
71,880,22
72,786,21
73,786,21
74,786,21
75,786,21
76,588,23
77,588,23
78,588,23
79,588,23
80,588,23
81,588,23
82,588,23
83,588,23
84,588,23
85,588,23
86,588,23
87,588,23
88,588,23
89,588,23
90,588,23
91,588,23
92,588,23
93,588,23
94,588,23
95,588,23
96,588,23
97,588,23
98,588,23
99,588,23
100,588,23
