iterations,fitness,violations
1,1907,
2,1907,
3,1907,
4,1907,
5,1907,
6,1907,
7,1907,
8,1907,
9,1907,
10,1907,
11,1907,
12,1907,
13,1907,
14,1907,
15,1907,
16,1907,
17,1907,
18,1907,
19,1907,
20,1907,
21,1907,
22,1907,
23,1907,
24,1907,
25,1907,
26,1907,
27,1907,
28,1907,
29,1907,
30,1907,
31,1907,
32,1907,
33,1907,
34,1907,
35,1907,
36,1907,
37,1907,
38,1907,
39,1907,
40,1907,
41,1907,
42,1907,
43,1907,
44,1907,
45,1907,
46,1907,
47,1907,
48,1907,
49,1907,
50,1907,
51,1907,
52,1907,
53,1907,
54,1907,
55,1907,
56,1907,
57,1907,
58,1907,
59,1907,
60,1907,
61,1907,
62,1907,
63,1907,
64,1907,
65,1907,
66,1907,
67,1907,
68,1907,
69,1907,
70,1907,
71,1907,
72,1907,
73,1907,
74,1907,
75,1907,
76,1907,
77,1907,
78,1907,
79,1907,
80,1907,
81,1907,
82,1907,
83,1907,
84,1907,
85,1907,
86,1907,
87,1907,
88,1907,
89,1907,
90,1907,
91,1907,
92,1907,
93,1907,
94,1907,
95,1907,
96,1907,
97,1907,
98,1907,
99,1907,
100,1907,16.0
