iterations,fitness,violations
1,3226,29
2,3226,29
3,3126,29
4,3024,29
5,3024,29
6,3024,29
7,3024,29
8,3024,29
9,3024,29
10,2824,29
11,2824,29
12,2824,29
13,2733,29
14,2733,29
15,2733,29
16,2733,29
17,2733,29
18,2733,29
19,2733,29
20,2729,31
21,2729,31
22,2729,31
23,2729,31
24,2640,29
25,2640,29
26,2629,31
27,2598,38
28,2596,38
29,2596,38
30,2540,29
31,2540,29
32,2540,29
33,2440,29
34,2396,38
35,2301,38
36,2301,38
37,2201,38
38,2201,38
39,2201,38
40,2201,38
41,2201,38
42,2201,38
43,2201,38
44,2132,29
45,2132,29
46,2132,29
47,2034,29
48,2027,29
49,2027,29
50,2027,29
51,2027,29
52,2027,29
53,2027,29
54,1932,31
55,1825,31
56,1825,31
57,1825,31
58,1825,31
59,1825,31
60,1825,31
61,1825,31
62,1819,31
63,1819,31
64,1812,31
65,1812,31
66,1812,31
67,1712,31
68,1712,31
69,1712,31
70,1712,31
71,1712,31
72,1712,31
73,1712,31
74,1704,31
75,1704,31
76,1704,31
77,1614,36
78,1506,36
79,1406,36
80,1406,36
81,1406,36
82,1404,36
83,1404,36
84,1404,36
85,1304,36
86,1304,36
87,1304,36
88,1304,36
89,1304,36
90,1304,36
91,1304,36
92,1211,40
93,1211,40
94,1211,40
95,1211,40
96,1211,40
97,1211,40
98,1211,40
99,1211,40
100,1211,40
