
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 1/100 | Current Best Fitness: 3231 | Violations: 28
POA Generation 2/100 | Current Best Fitness: 2937 | Violations: 25
POA Generation 3/100 | Current Best Fitness: 2431 | Violations: 20
POA Generation 4/100 | Current Best Fitness: 2137 | Violations: 17
POA Generation 5/100 | Current Best Fitness: 1930 | Violations: 15
POA Generation 6/100 | Current Best Fitness: 1728 | Violations: 13
POA Generation 7/100 | Current Best Fitness: 1628 | Violations: 12
POA Generation 8/100 | Current Best Fitness: 1626 | Violations: 12
POA Generation 9/100 | Current Best Fitness: 1619 | Violations: 12
POA Generation 10/100 | Current Best Fitness: 1617 | Violations: 12
POA Generation 11/100 | Current Best Fitness: 1610 | Violations: 12
POA Generation 12/100 | Current Best Fitness: 1519 | Violations: 11
POA Generation 13/100 | Current Best Fitness: 1510 | Violations: 11
POA Generation 14/100 | Current Best Fitness: 1510 | Violations: 11
POA Generation 15/100 | Current Best Fitness: 1410 | Violations: 10
POA Generation 16/100 | Current Best Fitness: 1410 | Violations: 10
POA Generation 17/100 | Current Best Fitness: 1408 | Violations: 10
POA Generation 18/100 | Current Best Fitness: 1408 | Violations: 10
POA Generation 19/100 | Current Best Fitness: 1308 | Violations: 9
POA Generation 20/100 | Current Best Fitness: 1308 | Violations: 9
POA Generation 21/100 | Current Best Fitness: 1308 | Violations: 9
POA Generation 22/100 | Current Best Fitness: 1301 | Violations: 9
POA Generation 23/100 | Current Best Fitness: 1301 | Violations: 9
POA Generation 24/100 | Current Best Fitness: 1299 | Violations: 9
POA Generation 25/100 | Current Best Fitness: 1299 | Violations: 9
POA Generation 26/100 | Current Best Fitness: 1299 | Violations: 9
POA Generation 27/100 | Current Best Fitness: 1299 | Violations: 9
POA Generation 28/100 | Current Best Fitness: 1292 | Violations: 9
POA Generation 29/100 | Current Best Fitness: 1192 | Violations: 8
POA Generation 30/100 | Current Best Fitness: 1190 | Violations: 8
POA Generation 31/100 | Current Best Fitness: 1092 | Violations: 7
POA Generation 32/100 | Current Best Fitness: 1090 | Violations: 7
POA Generation 33/100 | Current Best Fitness: 1090 | Violations: 7
POA Generation 34/100 | Current Best Fitness: 1090 | Violations: 7
POA Generation 35/100 | Current Best Fitness: 1088 | Violations: 7
POA Generation 36/100 | Current Best Fitness: 988 | Violations: 6
POA Generation 37/100 | Current Best Fitness: 988 | Violations: 6
POA Generation 38/100 | Current Best Fitness: 888 | Violations: 5
POA Generation 39/100 | Current Best Fitness: 888 | Violations: 5
POA Generation 40/100 | Current Best Fitness: 888 | Violations: 5
POA Generation 41/100 | Current Best Fitness: 886 | Violations: 5
POA Generation 42/100 | Current Best Fitness: 886 | Violations: 5
POA Generation 43/100 | Current Best Fitness: 886 | Violations: 5
POA Generation 44/100 | Current Best Fitness: 886 | Violations: 5
POA Generation 45/100 | Current Best Fitness: 886 | Violations: 5
POA Generation 46/100 | Current Best Fitness: 786 | Violations: 4
POA Generation 47/100 | Current Best Fitness: 786 | Violations: 4
POA Generation 48/100 | Current Best Fitness: 786 | Violations: 4
POA Generation 49/100 | Current Best Fitness: 786 | Violations: 4
POA Generation 50/100 | Current Best Fitness: 786 | Violations: 4
POA Generation 51/100 | Current Best Fitness: 786 | Violations: 4
POA Generation 52/100 | Current Best Fitness: 786 | Violations: 4
POA Generation 53/100 | Current Best Fitness: 786 | Violations: 4
POA Generation 54/100 | Current Best Fitness: 786 | Violations: 4
POA Generation 55/100 | Current Best Fitness: 688 | Violations: 3
POA Generation 56/100 | Current Best Fitness: 688 | Violations: 3
POA Generation 57/100 | Current Best Fitness: 688 | Violations: 3
POA Generation 58/100 | Current Best Fitness: 688 | Violations: 3
POA Generation 59/100 | Current Best Fitness: 688 | Violations: 3
POA Generation 60/100 | Current Best Fitness: 688 | Violations: 3
POA Generation 61/100 | Current Best Fitness: 686 | Violations: 3
POA Generation 62/100 | Current Best Fitness: 686 | Violations: 3
POA Generation 63/100 | Current Best Fitness: 686 | Violations: 3
POA Generation 64/100 | Current Best Fitness: 686 | Violations: 3
POA Generation 65/100 | Current Best Fitness: 686 | Violations: 3
POA Generation 66/100 | Current Best Fitness: 686 | Violations: 3
POA Generation 67/100 | Current Best Fitness: 686 | Violations: 3
POA Generation 68/100 | Current Best Fitness: 686 | Violations: 3
POA Generation 69/100 | Current Best Fitness: 686 | Violations: 3
POA Generation 70/100 | Current Best Fitness: 686 | Violations: 3
POA Generation 71/100 | Current Best Fitness: 684 | Violations: 3
POA Generation 72/100 | Current Best Fitness: 684 | Violations: 3
POA Generation 73/100 | Current Best Fitness: 684 | Violations: 3
POA Generation 74/100 | Current Best Fitness: 684 | Violations: 3
POA Generation 75/100 | Current Best Fitness: 684 | Violations: 3
POA Generation 76/100 | Current Best Fitness: 684 | Violations: 3
POA Generation 77/100 | Current Best Fitness: 684 | Violations: 3
POA Generation 78/100 | Current Best Fitness: 586 | Violations: 2
POA Generation 79/100 | Current Best Fitness: 586 | Violations: 2
POA Generation 80/100 | Current Best Fitness: 586 | Violations: 2
POA Generation 81/100 | Current Best Fitness: 586 | Violations: 2
POA Generation 82/100 | Current Best Fitness: 584 | Violations: 2
POA Generation 83/100 | Current Best Fitness: 584 | Violations: 2
POA Generation 84/100 | Current Best Fitness: 484 | Violations: 1
POA Generation 85/100 | Current Best Fitness: 384 | Violations: 0
POA Generation 86/100 | Current Best Fitness: 384 | Violations: 0
POA Generation 87/100 | Current Best Fitness: 384 | Violations: 0
POA Generation 88/100 | Current Best Fitness: 384 | Violations: 0
POA Generation 89/100 | Current Best Fitness: 384 | Violations: 0
POA Generation 90/100 | Current Best Fitness: 384 | Violations: 0
POA Generation 91/100 | Current Best Fitness: 382 | Violations: 0
POA Generation 92/100 | Current Best Fitness: 382 | Violations: 0
POA Generation 93/100 | Current Best Fitness: 382 | Violations: 0
POA Generation 94/100 | Current Best Fitness: 382 | Violations: 0
POA Generation 95/100 | Current Best Fitness: 382 | Violations: 0
POA Generation 96/100 | Current Best Fitness: 382 | Violations: 0
POA Generation 97/100 | Current Best Fitness: 382 | Violations: 0
POA Generation 98/100 | Current Best Fitness: 382 | Violations: 0
POA Generation 99/100 | Current Best Fitness: 382 | Violations: 0
POA Generation 100/100 | Current Best Fitness: 382 | Violations: 0

--- POA Run Finished ---
Final Best Fitness: 382
Final Hard Constraint Violations: 0
