iterations,fitness,violations
1,3122,
2,3122,
3,3122,
4,3122,
5,3122,
6,3122,
7,3122,
8,3122,
9,3122,
10,3122,
11,3122,
12,3122,
13,3122,
14,3122,
15,3122,
16,3122,
17,3122,
18,3122,
19,3122,
20,3122,
21,3122,
22,3122,
23,3122,
24,3122,
25,3122,
26,3122,
27,3122,
28,3122,
29,3122,
30,3122,
31,3122,
32,3122,
33,3122,
34,3122,
35,3122,
36,3122,
37,3122,
38,3122,
39,3122,
40,3122,
41,3122,
42,3122,
43,3122,
44,3122,
45,3122,
46,3122,
47,3122,
48,3122,
49,3122,
50,3122,
51,3122,
52,3122,
53,3122,
54,3122,
55,3122,
56,3122,
57,3122,
58,3122,
59,3122,
60,3122,
61,3122,
62,3122,
63,3122,
64,3122,
65,3122,
66,3122,
67,3122,
68,3122,
69,3122,
70,3122,
71,3122,
72,3122,
73,3122,
74,3122,
75,3122,
76,3122,
77,3122,
78,3122,
79,3122,
80,3122,
81,3122,
82,3122,
83,3122,
84,3122,
85,3122,
86,3122,
87,3122,
88,3122,
89,3122,
90,3122,
91,3122,
92,3122,
93,3122,
94,3122,
95,3122,
96,3122,
97,3122,
98,3122,
99,3122,
100,3122,27.0
