iterations,fitness,violations
1,3237,28
2,3237,28
3,3237,28
4,3237,28
5,3141,27
6,3141,27
7,3141,27
8,3141,27
9,3129,27
10,3129,27
11,3129,27
12,3129,27
13,3129,27
14,3129,27
15,3124,27
16,3124,27
17,3124,27
18,3124,27
19,3124,27
20,3124,27
21,3124,27
22,3124,27
23,3124,27
24,3124,27
25,3124,27
26,3124,27
27,3124,27
28,3124,27
29,3124,27
30,3124,27
31,3124,27
32,3124,27
33,3124,27
34,3124,27
35,3124,27
36,3124,27
37,3124,27
38,3124,27
39,3124,27
40,3124,27
41,3124,27
42,3124,27
43,3124,27
44,3124,27
45,3124,27
46,3124,27
47,3124,27
48,3124,27
49,3124,27
50,3124,27
51,3124,27
52,3124,27
53,3124,27
54,3124,27
55,3124,27
56,3124,27
57,3124,27
58,3124,27
59,3124,27
60,3124,27
61,3124,27
62,3124,27
63,3124,27
64,3124,27
65,3124,27
66,3124,27
67,3124,27
68,3124,27
69,3124,27
70,3124,27
71,3124,27
72,3124,27
73,3124,27
74,3124,27
75,3124,27
76,3124,27
77,3124,27
78,3124,27
79,3124,27
80,3124,27
81,3124,27
82,3124,27
83,3124,27
84,3124,27
85,3124,27
86,3124,27
87,3124,27
88,3124,27
89,3124,27
90,3124,27
91,3124,27
92,3124,27
93,3124,27
94,3124,27
95,3124,27
96,3124,27
97,3124,27
98,3124,27
99,3124,27
100,3124,27
