iterations,fitness,violations
1,3025,26
2,2937,25
3,2440,20
4,2220,18
5,2025,16
6,1923,15
7,1918,15
8,1918,15
9,1818,14
10,1818,14
11,1818,14
12,1818,14
13,1811,14
14,1711,13
15,1711,13
16,1611,12
17,1611,12
18,1511,11
19,1511,11
20,1511,11
21,1511,11
22,1511,11
23,1511,11
24,1511,11
25,1406,10
26,1306,9
27,1306,9
28,1306,9
29,1306,9
30,1213,8
31,1213,8
32,1213,8
33,1213,8
34,1113,7
35,1113,7
36,1113,7
37,1113,7
38,1113,7
39,1113,7
40,1113,7
41,1113,7
42,1113,7
43,1113,7
44,913,5
45,913,5
46,913,5
47,913,5
48,913,5
49,913,5
50,913,5
51,913,5
52,905,5
53,905,5
54,905,5
55,805,4
56,805,4
57,805,4
58,805,4
59,805,4
60,712,3
61,705,3
62,705,3
63,705,3
64,705,3
65,705,3
66,705,3
67,705,3
68,605,2
69,605,2
70,605,2
71,605,2
72,605,2
73,605,2
74,605,2
75,605,2
76,605,2
77,605,2
78,604,2
79,604,2
80,604,2
81,604,2
82,604,2
83,604,2
84,604,2
85,604,2
86,604,2
87,604,2
88,604,2
89,604,2
90,604,2
91,604,2
92,604,2
93,604,2
94,504,1
95,504,1
96,504,1
97,504,1
98,504,1
99,504,1
100,504,1
