iterations,fitness,violations
1,2080,17
2,2080,17
3,2080,17
4,2080,17
5,1286,9
6,1286,9
7,1286,9
8,1286,9
9,1286,9
10,1286,9
11,1286,9
12,1286,9
13,1286,9
14,1286,9
15,1286,9
16,1286,9
17,1286,9
18,1286,9
19,1286,9
20,1286,9
21,1286,9
22,1286,9
23,1286,9
24,1286,9
25,1286,9
26,1286,9
27,1286,9
28,1286,9
29,1286,9
30,1286,9
31,1286,9
32,1286,9
33,1286,9
34,1286,9
35,1286,9
36,1286,9
37,1286,9
38,1286,9
39,1286,9
40,1286,9
41,1286,9
42,1286,9
43,1286,9
44,1286,9
45,1286,9
46,1286,9
47,1286,9
48,1286,9
49,1286,9
50,1286,9
51,1286,9
52,1286,9
53,1286,9
54,1286,9
55,1286,9
56,1286,9
57,1286,9
58,1286,9
59,1286,9
60,1286,9
61,1286,9
62,1286,9
63,1286,9
64,1286,9
65,1286,9
66,1286,9
67,1286,9
68,1286,9
69,1286,9
70,1286,9
71,1286,9
72,1286,9
73,1286,9
74,1286,9
75,1286,9
76,1286,9
77,1286,9
78,1286,9
79,1286,9
80,1286,9
81,1286,9
82,1286,9
83,1286,9
84,1286,9
85,1286,9
86,1286,9
87,1286,9
88,1286,9
89,1286,9
90,1286,9
91,1286,9
92,1286,9
93,1286,9
94,1286,9
95,1286,9
96,1286,9
97,1286,9
98,1286,9
99,1286,9
100,1286,9
