iterations,fitness,violations
1,2092,17
2,1778,14
3,1501,11
4,1094,7
5,994,6
6,892,5
7,798,4
8,798,4
9,698,3
10,698,3
11,690,3
12,684,3
13,684,3
14,684,3
15,584,2
16,584,2
17,582,2
18,582,2
19,573,2
20,573,2
21,573,2
22,573,2
23,573,2
24,479,1
25,479,1
26,479,1
27,479,1
28,479,1
29,479,1
30,479,1
31,479,1
32,479,1
33,472,1
34,472,1
35,472,1
36,467,1
37,467,1
38,467,1
39,461,1
40,461,1
41,461,1
42,461,1
43,461,1
44,461,1
45,461,1
46,461,1
47,461,1
48,461,1
49,461,1
50,461,1
51,454,1
52,454,1
53,454,1
54,454,1
55,454,1
56,454,1
57,446,1
58,444,1
59,444,1
60,444,1
61,444,1
62,444,1
63,444,1
64,444,1
65,444,1
66,444,1
67,444,1
68,444,1
69,444,1
70,438,1
71,438,1
72,438,1
73,438,1
74,438,1
75,338,0
76,338,0
77,338,0
78,338,0
79,338,0
80,336,0
81,336,0
82,336,0
83,336,0
84,336,0
85,336,0
86,336,0
87,336,0
88,336,0
89,336,0
90,336,0
91,336,0
92,336,0
93,336,0
94,336,0
95,336,0
96,336,0
97,336,0
98,336,0
99,336,0
100,336,0
