iterations,fitness,violations
1,2065,17
2,2065,17
3,2065,17
4,2065,17
5,1986,17
6,1886,17
7,1886,17
8,1886,17
9,1794,18
10,1794,18
11,1794,18
12,1794,18
13,1748,23
14,1648,23
15,1648,23
16,1352,18
17,1352,18
18,1352,18
19,1352,18
20,1352,18
21,1352,18
22,1352,18
23,1352,18
24,1252,18
25,1252,18
26,1252,18
27,1252,18
28,1252,18
29,1250,23
30,1250,23
31,1152,18
32,1152,18
33,1058,17
34,1058,17
35,1050,17
36,1050,17
37,1050,17
38,1050,17
39,1050,17
40,1050,17
41,1050,17
42,1050,17
43,1050,17
44,1050,17
45,1050,17
46,950,18
47,950,18
48,950,18
49,950,18
50,950,18
51,950,18
52,850,18
53,850,18
54,850,18
55,850,18
56,850,18
57,850,18
58,850,18
59,850,18
60,850,18
61,850,18
62,850,18
63,850,18
64,850,18
65,850,18
66,850,18
67,850,18
68,850,18
69,850,18
70,850,18
71,850,18
72,850,18
73,850,18
74,850,18
75,850,18
76,850,18
77,850,18
78,850,18
79,850,18
80,850,18
81,850,18
82,850,18
83,753,26
84,753,26
85,653,26
86,653,26
87,653,26
88,653,26
89,645,26
90,645,26
91,645,26
92,640,26
93,640,26
94,640,26
95,640,26
96,640,26
97,640,26
98,640,26
99,640,26
100,640,26
