iterations,fitness,violations
1,1817,
2,1817,
3,1817,
4,1817,
5,1817,
6,1817,
7,1817,
8,1817,
9,1817,
10,1817,
11,1817,
12,1817,
13,1817,
14,1817,
15,1817,
16,1817,
17,1817,
18,1817,
19,1817,
20,1817,
21,1817,
22,1817,
23,1817,
24,1817,
25,1817,
26,1817,
27,1817,
28,1817,
29,1817,
30,1817,
31,1817,
32,1817,
33,1817,
34,1817,
35,1817,
36,1817,
37,1817,
38,1817,
39,1817,
40,1817,
41,1817,
42,1817,
43,1817,
44,1817,
45,1817,
46,1817,
47,1817,
48,1817,
49,1817,
50,1817,
51,1817,
52,1817,
53,1817,
54,1817,
55,1817,
56,1817,
57,1817,
58,1817,
59,1817,
60,1817,
61,1817,
62,1817,
63,1817,
64,1817,
65,1817,
66,1817,
67,1817,
68,1817,
69,1817,
70,1817,
71,1817,
72,1817,
73,1817,
74,1817,
75,1817,
76,1817,
77,1817,
78,1817,
79,1817,
80,1817,
81,1817,
82,1817,
83,1817,
84,1817,
85,1817,
86,1817,
87,1817,
88,1817,
89,1817,
90,1817,
91,1817,
92,1817,
93,1817,
94,1817,
95,1817,
96,1817,
97,1817,
98,1817,
99,1817,
100,1817,14.0
