iterations,fitness,violations
1,21304,201
2,20787,196
3,19874,186
4,19161,179
5,18464,172
6,18258,170
7,17856,166
8,17677,164
9,17577,163
10,17477,162
11,17377,161
12,17277,160
13,17277,160
14,17277,160
15,17177,159
16,17077,158
17,16977,157
18,16977,157
19,16784,155
20,16784,155
21,16684,154
22,16584,153
23,16484,152
24,16484,152
25,16391,151
26,16293,150
27,16193,149
28,16093,148
29,16091,148
30,16091,148
31,15991,147
32,15985,147
33,15885,146
34,15785,145
35,15783,145
36,15781,145
37,15681,144
38,15592,143
39,15581,143
40,15492,142
41,15481,142
42,15390,141
43,15290,140
44,15290,140
45,15090,138
46,14990,137
47,14890,136
48,14888,136
49,14788,135
50,14788,135
51,14787,135
52,14587,133
53,14487,132
54,14484,132
55,14384,131
56,14384,131
57,14375,131
58,14275,130
59,14275,130
60,14175,129
61,13975,127
62,13875,126
63,13775,125
64,13675,124
65,13575,123
66,13475,122
67,13377,121
68,13377,121
69,13368,121
70,13268,120
71,13165,119
72,13165,119
73,12965,117
74,12965,117
75,12965,117
76,12865,116
77,12857,116
78,12765,115
79,12665,114
80,12665,114
81,12565,113
82,12465,112
83,12265,110
84,12165,109
85,12065,108
86,12064,108
87,12056,108
88,12056,108
89,11956,107
90,11856,106
91,11854,106
92,11854,106
93,11854,106
94,11756,105
95,11754,105
96,11654,104
97,11554,103
98,11454,102
99,11354,101
100,11254,100
