iterations,fitness,violations
1,20619,193
2,20619,193
3,20619,193
4,20619,193
5,20619,193
6,20619,193
7,20619,193
8,20619,193
9,20619,193
10,20619,193
11,19986,188
12,19986,188
13,19986,188
14,19986,188
15,19986,188
16,19986,188
17,19986,188
18,19986,188
19,19986,188
20,19986,188
21,19986,188
22,19986,188
23,19986,188
24,19986,188
25,19986,188
26,19986,188
27,19986,188
28,19986,188
29,19986,188
30,19986,188
31,19986,188
32,19986,188
33,19986,188
34,19986,188
35,19986,188
36,19986,188
37,19986,188
38,19986,188
39,19986,188
40,19986,188
41,19986,188
42,19986,188
43,19986,188
44,19986,188
45,19986,188
46,19986,188
47,19986,188
48,19986,188
49,19986,188
50,19986,188
51,19986,188
52,19986,188
53,19986,188
54,19986,188
55,19986,188
56,19986,188
57,19986,188
58,19986,188
59,19986,188
60,19986,188
61,19986,188
62,19986,188
63,19986,188
64,19986,188
65,19986,188
66,19986,188
67,19986,188
68,19986,188
69,19986,188
70,19986,188
71,19986,188
72,19986,188
73,19986,188
74,19986,188
75,19986,188
76,19986,188
77,19986,188
78,19986,188
79,19986,188
80,19986,188
81,19986,188
82,19986,188
83,19986,188
84,19986,188
85,19986,188
86,19986,188
87,19986,188
88,19986,188
89,19986,188
90,19986,188
91,19986,188
92,19986,188
93,19986,188
94,19986,188
95,19986,188
96,19986,188
97,19986,188
98,19986,188
99,19986,188
100,19986,188
