iterations,fitness,violations
1,21321,201
2,21223,201
3,21223,201
4,21134,201
5,20927,201
6,20927,201
7,20919,201
8,20919,201
9,20919,201
10,20826,201
11,20626,201
12,20626,201
13,20621,201
14,20521,201
15,20228,201
16,20128,201
17,20128,201
18,20128,201
19,20128,201
20,20128,201
21,20028,201
22,20022,201
23,20022,201
24,19922,201
25,19922,201
26,19730,201
27,19539,201
28,19439,201
29,19439,201
30,19439,201
31,19439,201
32,19439,201
33,19439,201
34,19439,201
35,19439,201
36,19435,201
37,19435,201
38,19435,201
39,19235,201
40,19035,201
41,19035,201
42,19035,201
43,19035,201
44,19035,201
45,19035,201
46,19015,203
47,19015,203
48,19015,203
49,18935,201
50,18935,201
51,18927,214
52,18827,214
53,18827,214
54,18827,214
55,18727,214
56,18727,214
57,18727,214
58,18627,214
59,18627,214
60,18627,214
61,18432,214
62,18332,214
63,18140,214
64,18140,214
65,18140,214
66,18040,214
67,18040,214
68,18029,214
69,17929,214
70,17929,214
71,17829,214
72,17829,214
73,17829,214
74,17729,214
75,17729,214
76,17629,214
77,17329,214
78,17329,214
79,17329,214
80,17329,214
81,17329,214
82,17253,225
83,17151,225
84,17051,225
85,17051,225
86,16944,225
87,16937,225
88,16632,225
89,16432,225
90,16432,225
91,16432,225
92,16432,225
93,16432,225
94,16425,225
95,16419,225
96,16410,225
97,16210,225
98,16210,225
99,16210,225
100,16210,225
