iterations,fitness,violations
1,20876,
2,20876,
3,20876,
4,20876,
5,20876,
6,20876,
7,20876,
8,20876,
9,20876,
10,20876,
11,20876,
12,20876,
13,20876,
14,20876,
15,20876,
16,20876,
17,20876,
18,20876,
19,20876,
20,20876,
21,20876,
22,20876,
23,20876,
24,20876,
25,20876,
26,20876,
27,20876,
28,20876,
29,20876,
30,20876,
31,20876,
32,20876,
33,20876,
34,20876,
35,20876,
36,20876,
37,20876,
38,20876,
39,20876,
40,20876,
41,20876,
42,20876,
43,20876,
44,20876,
45,20876,
46,20876,
47,20876,
48,20876,
49,20876,
50,20876,
51,20876,
52,20876,
53,20876,
54,20876,
55,20876,
56,20876,
57,20876,
58,20876,
59,20876,
60,20876,
61,20876,
62,20876,
63,20876,
64,20876,
65,20876,
66,20876,
67,20876,
68,20876,
69,20876,
70,20876,
71,20876,
72,20876,
73,20876,
74,20876,
75,20876,
76,20876,
77,20876,
78,20876,
79,20876,
80,20876,
81,20876,
82,20876,
83,20876,
84,20876,
85,20876,
86,20876,
87,20876,
88,20876,
89,20876,
90,20876,
91,20876,
92,20876,
93,20876,
94,20876,
95,20876,
96,20876,
97,20876,
98,20876,
99,20876,
100,20876,196.0
