
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 1/100 | Current Best Fitness: 20226 | Violations: 189
POA Generation 2/100 | Current Best Fitness: 19637 | Violations: 184
POA Generation 3/100 | Current Best Fitness: 19054 | Violations: 178
POA Generation 4/100 | Current Best Fitness: 18651 | Violations: 174
POA Generation 5/100 | Current Best Fitness: 18350 | Violations: 171
POA Generation 6/100 | Current Best Fitness: 17851 | Violations: 166
POA Generation 7/100 | Current Best Fitness: 17653 | Violations: 164
POA Generation 8/100 | Current Best Fitness: 17551 | Violations: 163
POA Generation 9/100 | Current Best Fitness: 17253 | Violations: 160
POA Generation 10/100 | Current Best Fitness: 17153 | Violations: 159
POA Generation 11/100 | Current Best Fitness: 17053 | Violations: 158
POA Generation 12/100 | Current Best Fitness: 17053 | Violations: 158
POA Generation 13/100 | Current Best Fitness: 16953 | Violations: 157
POA Generation 14/100 | Current Best Fitness: 16853 | Violations: 156
POA Generation 15/100 | Current Best Fitness: 16851 | Violations: 156
POA Generation 16/100 | Current Best Fitness: 16746 | Violations: 155
POA Generation 17/100 | Current Best Fitness: 16646 | Violations: 154
POA Generation 18/100 | Current Best Fitness: 16546 | Violations: 153
POA Generation 19/100 | Current Best Fitness: 16446 | Violations: 152
POA Generation 20/100 | Current Best Fitness: 16446 | Violations: 152
POA Generation 21/100 | Current Best Fitness: 16346 | Violations: 151
POA Generation 22/100 | Current Best Fitness: 16246 | Violations: 150
POA Generation 23/100 | Current Best Fitness: 16246 | Violations: 150
POA Generation 24/100 | Current Best Fitness: 16246 | Violations: 150
POA Generation 25/100 | Current Best Fitness: 16244 | Violations: 150
POA Generation 26/100 | Current Best Fitness: 16046 | Violations: 148
POA Generation 27/100 | Current Best Fitness: 15944 | Violations: 147
POA Generation 28/100 | Current Best Fitness: 15942 | Violations: 147
POA Generation 29/100 | Current Best Fitness: 15842 | Violations: 146
POA Generation 30/100 | Current Best Fitness: 15749 | Violations: 145
POA Generation 31/100 | Current Best Fitness: 15649 | Violations: 144
POA Generation 32/100 | Current Best Fitness: 15649 | Violations: 144
POA Generation 33/100 | Current Best Fitness: 15549 | Violations: 143
POA Generation 34/100 | Current Best Fitness: 15548 | Violations: 143
POA Generation 35/100 | Current Best Fitness: 15448 | Violations: 142
POA Generation 36/100 | Current Best Fitness: 15448 | Violations: 142
POA Generation 37/100 | Current Best Fitness: 15448 | Violations: 142
POA Generation 38/100 | Current Best Fitness: 15348 | Violations: 141
POA Generation 39/100 | Current Best Fitness: 15348 | Violations: 141
POA Generation 40/100 | Current Best Fitness: 15339 | Violations: 141
POA Generation 41/100 | Current Best Fitness: 15239 | Violations: 140
POA Generation 42/100 | Current Best Fitness: 15139 | Violations: 139
POA Generation 43/100 | Current Best Fitness: 15039 | Violations: 138
POA Generation 44/100 | Current Best Fitness: 14939 | Violations: 137
POA Generation 45/100 | Current Best Fitness: 14939 | Violations: 137
POA Generation 46/100 | Current Best Fitness: 14939 | Violations: 137
POA Generation 47/100 | Current Best Fitness: 14741 | Violations: 135
POA Generation 48/100 | Current Best Fitness: 14741 | Violations: 135
POA Generation 49/100 | Current Best Fitness: 14734 | Violations: 135
POA Generation 50/100 | Current Best Fitness: 14732 | Violations: 135
POA Generation 51/100 | Current Best Fitness: 14634 | Violations: 134
POA Generation 52/100 | Current Best Fitness: 14632 | Violations: 134
POA Generation 53/100 | Current Best Fitness: 14534 | Violations: 133
POA Generation 54/100 | Current Best Fitness: 14532 | Violations: 133
POA Generation 55/100 | Current Best Fitness: 14434 | Violations: 132
POA Generation 56/100 | Current Best Fitness: 14332 | Violations: 131
POA Generation 57/100 | Current Best Fitness: 14332 | Violations: 131
POA Generation 58/100 | Current Best Fitness: 14232 | Violations: 130
POA Generation 59/100 | Current Best Fitness: 14132 | Violations: 129
POA Generation 60/100 | Current Best Fitness: 14132 | Violations: 129
POA Generation 61/100 | Current Best Fitness: 14027 | Violations: 128
POA Generation 62/100 | Current Best Fitness: 13927 | Violations: 127
POA Generation 63/100 | Current Best Fitness: 13827 | Violations: 126
POA Generation 64/100 | Current Best Fitness: 13727 | Violations: 125
POA Generation 65/100 | Current Best Fitness: 13627 | Violations: 124
POA Generation 66/100 | Current Best Fitness: 13527 | Violations: 123
POA Generation 67/100 | Current Best Fitness: 13427 | Violations: 122
POA Generation 68/100 | Current Best Fitness: 13427 | Violations: 122
POA Generation 69/100 | Current Best Fitness: 13327 | Violations: 121
POA Generation 70/100 | Current Best Fitness: 13227 | Violations: 120
POA Generation 71/100 | Current Best Fitness: 13127 | Violations: 119
POA Generation 72/100 | Current Best Fitness: 13027 | Violations: 118
POA Generation 73/100 | Current Best Fitness: 13025 | Violations: 118
POA Generation 74/100 | Current Best Fitness: 12925 | Violations: 117
POA Generation 75/100 | Current Best Fitness: 12825 | Violations: 116
POA Generation 76/100 | Current Best Fitness: 12725 | Violations: 115
POA Generation 77/100 | Current Best Fitness: 12725 | Violations: 115
POA Generation 78/100 | Current Best Fitness: 12625 | Violations: 114
POA Generation 79/100 | Current Best Fitness: 12525 | Violations: 113
