
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 1/100 | Current Best Fitness: 21304 | Violations: 201
POA Generation 2/100 | Current Best Fitness: 20787 | Violations: 196
POA Generation 3/100 | Current Best Fitness: 19874 | Violations: 186
POA Generation 4/100 | Current Best Fitness: 19161 | Violations: 179
POA Generation 5/100 | Current Best Fitness: 18464 | Violations: 172
POA Generation 6/100 | Current Best Fitness: 18258 | Violations: 170
POA Generation 7/100 | Current Best Fitness: 17856 | Violations: 166
POA Generation 8/100 | Current Best Fitness: 17677 | Violations: 164
POA Generation 9/100 | Current Best Fitness: 17577 | Violations: 163
POA Generation 10/100 | Current Best Fitness: 17477 | Violations: 162
POA Generation 11/100 | Current Best Fitness: 17377 | Violations: 161
POA Generation 12/100 | Current Best Fitness: 17277 | Violations: 160
POA Generation 13/100 | Current Best Fitness: 17277 | Violations: 160
POA Generation 14/100 | Current Best Fitness: 17277 | Violations: 160
POA Generation 15/100 | Current Best Fitness: 17177 | Violations: 159
POA Generation 16/100 | Current Best Fitness: 17077 | Violations: 158
POA Generation 17/100 | Current Best Fitness: 16977 | Violations: 157
POA Generation 18/100 | Current Best Fitness: 16977 | Violations: 157
POA Generation 19/100 | Current Best Fitness: 16784 | Violations: 155
POA Generation 20/100 | Current Best Fitness: 16784 | Violations: 155
POA Generation 21/100 | Current Best Fitness: 16684 | Violations: 154
POA Generation 22/100 | Current Best Fitness: 16584 | Violations: 153
POA Generation 23/100 | Current Best Fitness: 16484 | Violations: 152
POA Generation 24/100 | Current Best Fitness: 16484 | Violations: 152
POA Generation 25/100 | Current Best Fitness: 16391 | Violations: 151
POA Generation 26/100 | Current Best Fitness: 16293 | Violations: 150
POA Generation 27/100 | Current Best Fitness: 16193 | Violations: 149
POA Generation 28/100 | Current Best Fitness: 16093 | Violations: 148
POA Generation 29/100 | Current Best Fitness: 16091 | Violations: 148
POA Generation 30/100 | Current Best Fitness: 16091 | Violations: 148
POA Generation 31/100 | Current Best Fitness: 15991 | Violations: 147
POA Generation 32/100 | Current Best Fitness: 15985 | Violations: 147
POA Generation 33/100 | Current Best Fitness: 15885 | Violations: 146
POA Generation 34/100 | Current Best Fitness: 15785 | Violations: 145
POA Generation 35/100 | Current Best Fitness: 15783 | Violations: 145
POA Generation 36/100 | Current Best Fitness: 15781 | Violations: 145
POA Generation 37/100 | Current Best Fitness: 15681 | Violations: 144
