
--- Running Artificial Bee Colony Optimization with MLflow Logging ---
ABC Iteration 1/100 | Best Fitness: 21088 | Violations: 200
ABC Iteration 2/100 | Best Fitness: 20985 | Violations: 200
ABC Iteration 3/100 | Best Fitness: 20985 | Violations: 200
ABC Iteration 4/100 | Best Fitness: 20691 | Violations: 200
ABC Iteration 5/100 | Best Fitness: 20691 | Violations: 200
ABC Iteration 6/100 | Best Fitness: 20591 | Violations: 200
ABC Iteration 7/100 | Best Fitness: 20491 | Violations: 200
ABC Iteration 8/100 | Best Fitness: 20391 | Violations: 200
ABC Iteration 9/100 | Best Fitness: 20290 | Violations: 200
ABC Iteration 10/100 | Best Fitness: 20290 | Violations: 200
ABC Iteration 11/100 | Best Fitness: 20182 | Violations: 200
ABC Iteration 12/100 | Best Fitness: 20182 | Violations: 200
ABC Iteration 13/100 | Best Fitness: 20090 | Violations: 200
ABC Iteration 14/100 | Best Fitness: 20090 | Violations: 200
ABC Iteration 15/100 | Best Fitness: 20090 | Violations: 200
ABC Iteration 16/100 | Best Fitness: 19985 | Violations: 200
ABC Iteration 17/100 | Best Fitness: 19985 | Violations: 200
ABC Iteration 18/100 | Best Fitness: 19985 | Violations: 200
ABC Iteration 19/100 | Best Fitness: 19883 | Violations: 200
ABC Iteration 20/100 | Best Fitness: 19490 | Violations: 200
ABC Iteration 21/100 | Best Fitness: 19490 | Violations: 200
ABC Iteration 22/100 | Best Fitness: 19490 | Violations: 200
ABC Iteration 23/100 | Best Fitness: 19490 | Violations: 200
ABC Iteration 24/100 | Best Fitness: 19290 | Violations: 200
ABC Iteration 25/100 | Best Fitness: 19290 | Violations: 200
ABC Iteration 26/100 | Best Fitness: 19189 | Violations: 200
ABC Iteration 27/100 | Best Fitness: 18989 | Violations: 200
ABC Iteration 28/100 | Best Fitness: 18891 | Violations: 200
ABC Iteration 29/100 | Best Fitness: 18791 | Violations: 200
ABC Iteration 30/100 | Best Fitness: 18791 | Violations: 200
ABC Iteration 31/100 | Best Fitness: 18690 | Violations: 200
ABC Iteration 32/100 | Best Fitness: 18598 | Violations: 200
ABC Iteration 33/100 | Best Fitness: 18498 | Violations: 200
ABC Iteration 34/100 | Best Fitness: 18498 | Violations: 200
ABC Iteration 35/100 | Best Fitness: 18406 | Violations: 200
ABC Iteration 36/100 | Best Fitness: 18406 | Violations: 200
ABC Iteration 37/100 | Best Fitness: 18406 | Violations: 200
