
--- Running Ant Colony Optimization with MLflow Logging ---
ACO Iteration 1/100 | Best Fitness: 3564 | Violations: 31
ACO Iteration 2/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 3/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 4/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 5/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 6/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 7/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 8/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 9/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 10/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 11/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 12/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 13/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 14/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 15/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 16/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 17/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 18/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 19/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 20/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 21/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 22/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 23/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 24/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 25/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 26/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 27/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 28/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 29/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 30/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 31/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 32/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 33/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 34/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 35/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 36/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 37/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 38/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 39/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 40/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 41/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 42/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 43/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 44/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 45/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 46/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 47/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 48/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 49/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 50/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 51/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 52/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 53/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 54/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 55/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 56/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 57/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 58/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 59/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 60/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 61/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 62/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 63/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 64/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 65/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 66/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 67/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 68/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 69/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 70/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 71/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 72/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 73/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 74/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 75/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 76/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 77/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 78/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 79/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 80/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 81/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 82/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 83/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 84/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 85/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 86/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 87/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 88/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 89/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 90/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 91/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 92/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 93/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 94/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 95/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 96/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 97/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 98/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 99/100 | Best Fitness: 2755 | Violations: 23
ACO Iteration 100/100 | Best Fitness: 2755 | Violations: 23

--- ACO Run Finished ---
Final Best Fitness: 2755
Final Hard Constraint Violations: 23
