kode_mk,nama_mk,dosen_id,prioritas,ruang,waktu,hari,jam
CIE62203,Pemrograman Berbasis Objek,76.0,1,F9.2,Jumat_07:00-07:50,Jumat,07:00-07:50
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,1.0,1,F3.7a,Jumat_07:00-07:50,Jumat,07:00-07:50
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,62.0,2,F11.3,Jumat_07:00-07:50,Jumat,07:00-07:50
CIS62110,Perencanaan Strategis Sistem Informasi,47.0,2,F3.1,Jumat_07:00-07:50,Jumat,07:00-07:50
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,4.0,1,F3.2,Jumat_07:00-07:50,Jumat,07:00-07:50
CIT60039,Pengembangan Aplikasi Web Lanjut,47.0,1,F3.2,Jumat_07:00-07:50,Jumat,07:00-07:50
CIT62010,Sistem Operasi,75.0,1,F2.5,Jumat_07:00-07:50,Jumat,07:00-07:50
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Belum Ada Dosen,1,F3.7a,Jumat_07:00-07:50,Jumat,07:00-07:50
COM60052,Etika Profesi,59.0,2,F3.10,Jumat_07:00-07:50,Jumat,07:00-07:50
COM60061,Capstone Project,4.0,1,F3.7b,Jumat_07:00-07:50,Jumat,07:00-07:50
CSD60704,Desain Basis Data,102.0,1,F11.4,Jumat_07:00-07:50,Jumat,07:00-07:50
CSD60705,Pemrograman SQL,73.0,1,F4.7,Jumat_07:00-07:50,Jumat,07:00-07:50
CIE61206,Jaringan Komputer,39.0,1,F11.4,Jumat_07:50-08:40,Jumat,07:50-08:40
CIE61206,Jaringan Komputer,79.0,1,F4.13,Jumat_07:50-08:40,Jumat,07:50-08:40
CIE61208,Basis Data,75.0,1,F3.4,Jumat_07:50-08:40,Jumat,07:50-08:40
CIE62204,Paradigma Sistem,6.0,1,F3.17,Jumat_07:50-08:40,Jumat,07:50-08:40
CIS60107,Gudang Data,102.0,1,F3.18,Jumat_07:50-08:40,Jumat,07:50-08:40
CIT60031,Manajemen Proyek Teknologi Informasi,48.0,1,F4.7,Jumat_07:50-08:40,Jumat,07:50-08:40
CIT60051,Teknologi Smart City,6.0,2,F3.2,Jumat_07:50-08:40,Jumat,07:50-08:40
CIT62010,Sistem Operasi,65.0,2,F2.5,Jumat_07:50-08:40,Jumat,07:50-08:40
CIT62022,Implementasi dan Pengujian Sistem Informasi,40.0,1,F3.7a,Jumat_07:50-08:40,Jumat,07:50-08:40
CSD60702,Sistem Pendukung Keputusan,15.0,1,F9.2,Jumat_07:50-08:40,Jumat,07:50-08:40
CSD60703,Tata Kelola Teknologi Informasi,87.0,1,F3.11,Jumat_07:50-08:40,Jumat,07:50-08:40
CSD60711,Perancangan Pengalaman Pengguna,62.0,1,F2.9,Jumat_07:50-08:40,Jumat,07:50-08:40
CSD60715,Analisis Data Penelitian Kuantitatif,100.0,1,F3.8,Jumat_07:50-08:40,Jumat,07:50-08:40
CIE61120,Literasi Digital,103.0,2,F2.2,Jumat_08:40-09:30,Jumat,08:40-09:30
CIS60105,Strategi Transformasi Digital,94.0,1,F11.3,Jumat_08:40-09:30,Jumat,08:40-09:30
