
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 1/500 | Current Best Fitness: 20345 | Violations: 191
POA Generation 2/500 | Current Best Fitness: 19510 | Violations: 183
POA Generation 3/500 | Current Best Fitness: 18226 | Violations: 170
POA Generation 4/500 | Current Best Fitness: 17427 | Violations: 162
POA Generation 5/500 | Current Best Fitness: 16829 | Violations: 156
POA Generation 6/500 | Current Best Fitness: 16229 | Violations: 150
POA Generation 7/500 | Current Best Fitness: 15937 | Violations: 147
POA Generation 8/500 | Current Best Fitness: 15642 | Violations: 144
POA Generation 9/500 | Current Best Fitness: 15442 | Violations: 142
POA Generation 10/500 | Current Best Fitness: 15334 | Violations: 141
POA Generation 11/500 | Current Best Fitness: 15234 | Violations: 140
POA Generation 12/500 | Current Best Fitness: 15134 | Violations: 139
POA Generation 13/500 | Current Best Fitness: 15033 | Violations: 138
POA Generation 14/500 | Current Best Fitness: 14833 | Violations: 136
POA Generation 15/500 | Current Best Fitness: 14731 | Violations: 135
POA Generation 16/500 | Current Best Fitness: 14631 | Violations: 134
POA Generation 17/500 | Current Best Fitness: 14531 | Violations: 133
POA Generation 18/500 | Current Best Fitness: 14331 | Violations: 131
POA Generation 19/500 | Current Best Fitness: 14131 | Violations: 129
POA Generation 20/500 | Current Best Fitness: 14029 | Violations: 128
POA Generation 21/500 | Current Best Fitness: 13929 | Violations: 127
POA Generation 22/500 | Current Best Fitness: 13827 | Violations: 126
POA Generation 23/500 | Current Best Fitness: 13727 | Violations: 125
POA Generation 24/500 | Current Best Fitness: 13619 | Violations: 124
POA Generation 25/500 | Current Best Fitness: 13419 | Violations: 122
POA Generation 26/500 | Current Best Fitness: 13314 | Violations: 121
POA Generation 27/500 | Current Best Fitness: 13214 | Violations: 120
POA Generation 28/500 | Current Best Fitness: 13114 | Violations: 119
POA Generation 29/500 | Current Best Fitness: 12914 | Violations: 117
POA Generation 30/500 | Current Best Fitness: 12812 | Violations: 116
POA Generation 31/500 | Current Best Fitness: 12712 | Violations: 115
POA Generation 32/500 | Current Best Fitness: 12610 | Violations: 114
POA Generation 33/500 | Current Best Fitness: 12410 | Violations: 112
POA Generation 34/500 | Current Best Fitness: 12310 | Violations: 111
POA Generation 35/500 | Current Best Fitness: 12110 | Violations: 109
POA Generation 36/500 | Current Best Fitness: 11918 | Violations: 107
POA Generation 37/500 | Current Best Fitness: 11725 | Violations: 105
POA Generation 38/500 | Current Best Fitness: 11625 | Violations: 104
POA Generation 39/500 | Current Best Fitness: 11525 | Violations: 103
POA Generation 40/500 | Current Best Fitness: 11423 | Violations: 102
POA Generation 41/500 | Current Best Fitness: 11323 | Violations: 101
POA Generation 42/500 | Current Best Fitness: 11223 | Violations: 100
POA Generation 43/500 | Current Best Fitness: 11123 | Violations: 99
POA Generation 44/500 | Current Best Fitness: 11023 | Violations: 98
POA Generation 45/500 | Current Best Fitness: 10923 | Violations: 97
POA Generation 46/500 | Current Best Fitness: 10823 | Violations: 96
POA Generation 47/500 | Current Best Fitness: 10723 | Violations: 95
POA Generation 48/500 | Current Best Fitness: 10525 | Violations: 93
POA Generation 49/500 | Current Best Fitness: 10425 | Violations: 92
POA Generation 50/500 | Current Best Fitness: 10325 | Violations: 91
POA Generation 51/500 | Current Best Fitness: 10221 | Violations: 90
POA Generation 52/500 | Current Best Fitness: 10113 | Violations: 89
POA Generation 53/500 | Current Best Fitness: 10010 | Violations: 88
POA Generation 54/500 | Current Best Fitness: 9910 | Violations: 87
POA Generation 55/500 | Current Best Fitness: 9894 | Violations: 87
POA Generation 56/500 | Current Best Fitness: 9793 | Violations: 86
POA Generation 57/500 | Current Best Fitness: 9693 | Violations: 85
POA Generation 58/500 | Current Best Fitness: 9593 | Violations: 84
POA Generation 59/500 | Current Best Fitness: 9493 | Violations: 83
POA Generation 60/500 | Current Best Fitness: 9393 | Violations: 82
POA Generation 61/500 | Current Best Fitness: 9293 | Violations: 81
POA Generation 62/500 | Current Best Fitness: 9193 | Violations: 80
POA Generation 63/500 | Current Best Fitness: 9088 | Violations: 79
POA Generation 64/500 | Current Best Fitness: 8988 | Violations: 78
POA Generation 65/500 | Current Best Fitness: 8880 | Violations: 77
POA Generation 66/500 | Current Best Fitness: 8780 | Violations: 76
POA Generation 67/500 | Current Best Fitness: 8680 | Violations: 75
POA Generation 68/500 | Current Best Fitness: 8580 | Violations: 74
