kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,1,Pengampu,11.0,"['11.0', 'Belum Ada Dosen', 'Belum Ada Dosen', '12.0', '103.0']",reguler,F3.5b,Selasa_12:50-13:40
CIT60053,Pengembangan Gim,Teknologi Informasi,1,Pengampu,16.0,['16.0'],reguler,F4.10,Rabu_12:50-13:40
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,"Pengelola, Pengampu",94.0,"['94.0', '35.0', '41.0', '75.0', '83.0']",reguler,F3.9,Selasa_12:50-13:40
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,1,Pengampu,17.0,"['17.0', '75.0', '108.0']",reguler,F3.16,Jumat_08:40-09:30
CIS60104,Transformasi Pemerintah,Sistem Informasi,1,"Pengelola, Pengampu",94.0,"['94.0', '11.0', '21.0', 'Belum Ada Dosen', '108.0', '47.0', '12.0']",reguler,F4.7,Jumat_07:00-07:50
CIS61118,Rekayasa Kebutuhan Sistem Informasi,Sistem Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F4.9,Jumat_13:40-14:30
CIE61103,Filsafat Pendidikan dan Sains,Pendidikan Teknologi Informasi,2,Pengampu,103.0,"['103.0', '103.0']",reguler,F3.8,Senin_14:30-15:20
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94.0,"['94.0', '47.0', '108.0', '16.0', '21.0', '40.0', 'Belum Ada Dosen', '87.0', '12.0']",reguler,F3.2,Kamis_09:30-10:20
UBU60003,Kewirausahaan,Pendidikan Teknologi Informasi,2,Pengampu,62.0,"['62.0', '87.0', '47.0', '62.0', '15.0', '47.0', '62.0', '96.0']",reguler,F3.5a,Rabu_07:00-07:50
COM60016,Pengantar Keilmuan Komputer,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,"['47.0', '4.0', '83.0', '90.0', '108.0', '103.0', '47.0', '4.0', '108.0', '83.0', '90.0', '103.0', '47.0', '4.0', '83.0', '90.0', '102.0', '108.0', '62.0', '103.0']",reguler,F4.11,Jumat_16:10-17:00
COM60024,Pemrograman Lanjut,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",16.0,"['16.0', '20.0', '47.0', '4.0', '52.0', '70.0', '1.0', '31.0', '37.0', '55.0', '65.0', '75.0', '76.0', '80.0', '82.0', '87.0', '91.0', '98.0', '22.0', '23.0', '20.0', '47.0', '4.0', '16.0', '22.0', '52.0', '80.0', '1.0', '31.0', '55.0', '70.0', '75.0', '76.0', '82.0', '91.0', '98.0', '67.0']",reguler,F9.2,Selasa_07:50-08:40
