kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94.0,['94.0'],reguler,F2.8,Kamis_17:50-18:40
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,"Pengelola, Pengampu",6.0,['6.0'],reguler,F3.5b,Jumat_17:50-18:40
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,Pengampu,13.0,['13.0'],reguler,F3.8,Senin_15:20-16:10
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,Pengampu,22.0,['22.0'],reguler,F3.15,Selasa_12:50-13:40
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,Pengampu,40.0,['40.0'],reguler,F3.1,Rabu_12:50-13:40
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,Pengampu,48.0,['48.0'],reguler,F4.10,Selasa_16:10-17:00
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,"Pengelola, Pengampu",94.0,['94.0'],reguler,F3.14,Jumat_11:10-12:00
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,Pengampu,35.0,['35.0'],reguler,F3.5b,Rabu_08:40-09:30
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,Pengampu,41.0,['41.0'],reguler,F4.12,Rabu_07:50-08:40
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,Pengampu,75.0,['75.0'],reguler,F4.3,Senin_10:20-11:10
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,Pengampu,83.0,['83.0'],reguler,F11.4,Jumat_14:30-15:20
CIT60036,Teknologi Berbasis Cloud,Teknologi Informasi,1,Pengampu,16.0,['16.0'],reguler,F3.9,Kamis_07:00-07:50
CIT60036,Teknologi Berbasis Cloud,Teknologi Informasi,1,Pengampu,20.0,['20.0'],reguler,F3.5a,Jumat_16:10-17:00
