kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
COM60061,Capstone Project,Pendidikan Teknologi Informasi,2,Pengampu,48.0,['48.0'],reguler,F11.3,Senin_17:50-18:40
CIT61021,Data Warehouse,Teknologi Informasi,1,"Pengelola, Pengampu",102.0,['102.0'],reguler,F11.1,Jumat_14:30-15:20
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,87.0,['87.0'],reguler,F2.1,Senin_08:40-09:30
CIE62306,Pembelajaran Inklusif,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F3.5a,Selasa_12:00-12:50
UBU60003,Kewirausahaan,Teknologi Informasi,2,Pengampu,96.0,['96.0'],reguler,F2.9,Jumat_14:30-15:20
COM60052,Etika Profesi,Teknologi Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F3.12,Jumat_09:30-10:20
CIE62209,Pengembangan dan Manajemen Perangkat Lunak,Pendidikan Teknologi Informasi,2,Pengampu,62.0,['62.0'],reguler,F3.15,Rabu_17:50-18:40
CSD60711,Perancangan Pengalaman Pengguna,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",45.0,['45.0'],reguler,F9.1,Senin_16:10-17:00
CIT60042,Teknologi Blockchain dan Platform Keuangan Digital,Teknologi Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F3.15,Senin_10:20-11:10
CIT62023,Kecerdasan Buatan dan Pembelajaran Mesin,Teknologi Informasi,1,Pengampu,20.0,['20.0'],reguler,F9.1,Rabu_17:50-18:40
CIE62107,Lingkungan Pembelajaran Digital,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F4.11,Senin_08:40-09:30
CIS62110,Perencanaan Strategis Sistem Informasi,Sistem Informasi,1,"Pengelola, Pengampu",6.0,['6.0'],reguler,F2.9,Senin_16:10-17:00
COM60014,Pemrograman Dasar,Sistem Informasi,1,Pengampu,91.0,['91.0'],reguler,F3.16,Selasa_08:40-09:30
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,2,Pengampu,103.0,['103.0'],reguler,F4.6,Selasa_08:40-09:30
CIT60051,Teknologi Smart City,Teknologi Informasi,2,"Koordinator Pengelola, Pengelola, Pengampu",105.0,['105.0'],reguler,F3.18,Senin_07:00-07:50
CSD60714,Jaminan Kualitas Perangkat Lunak,Pendidikan Teknologi Informasi,2,Pengampu,40.0,['40.0'],reguler,F9.1,Kamis_07:50-08:40
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,Sistem Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F4.4,Rabu_16:10-17:00
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,2,Pengampu,62.0,['62.0'],reguler,F4.4,Rabu_15:20-16:10
COM60014,Pemrograman Dasar,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F2.5,Selasa_14:30-15:20
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,Pengampu,83.0,['83.0'],reguler,F11.4,Selasa_07:00-07:50
CSD60705,Pemrograman SQL,Sistem Informasi,1,Pengampu,70.0,['70.0'],reguler,F4.12,Rabu_07:00-07:50
COM60014,Pemrograman Dasar,Teknologi Informasi,1,Pengampu,82.0,['82.0'],reguler,F3.5a,Senin_08:40-09:30
CIE61114,Pendidikan Orang Dewasa dan Berkelanjutan,Pendidikan Teknologi Informasi,1,Pengampu,39.0,['39.0'],reguler,F4.12,Kamis_10:20-11:10
