kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94.0,['94.0'],reguler,F2.2,Jumat_16:10-17:00
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F2.9,Senin_12:00-12:50
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,1,"Pengelola, Pengampu",108.0,['108.0'],reguler,F4.4,Senin_16:10-17:00
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,1,Pengampu,16.0,['16.0'],reguler,F2.4,Senin_17:00-17:50
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,1,Pengampu,21.0,['21.0'],reguler,F4.6,Kamis_17:50-18:40
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,1,Pengampu,40.0,['40.0'],reguler,F3.7a,Senin_17:00-17:50
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.1,Selasa_17:00-17:50
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,1,Pengampu,87.0,['87.0'],reguler,F3.4,Rabu_08:40-09:30
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,2,Pengampu,12.0,['12.0'],reguler,F3.5a,Kamis_07:00-07:50
CIS60102,Pengembangan Aplikasi Multiplatform,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",16.0,['16.0'],reguler,F9.1,Senin_07:00-07:50
CIS60102,Pengembangan Aplikasi Multiplatform,Sistem Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F2.8,Rabu_13:40-14:30
CIS60102,Pengembangan Aplikasi Multiplatform,Sistem Informasi,1,Pengampu,1.0,['1.0'],reguler,F4.6,Selasa_16:10-17:00
CIS60102,Pengembangan Aplikasi Multiplatform,Sistem Informasi,2,Pengampu,70.0,['70.0'],reguler,F3.15,Senin_08:40-09:30
CIS60103,Pemrograman Web Lanjut,Sistem Informasi,1,Pengampu,1.0,['1.0'],reguler,F11.4,Jumat_15:20-16:10
CIS60103,Pemrograman Web Lanjut,Sistem Informasi,1,Pengampu,16.0,['16.0'],reguler,F2.8,Jumat_16:10-17:00
CIS60103,Pemrograman Web Lanjut,Sistem Informasi,1,Pengampu,22.0,['22.0'],reguler,F3.8,Selasa_17:50-18:40
CIS60103,Pemrograman Web Lanjut,Sistem Informasi,1,Pengampu,31.0,['31.0'],reguler,F4.5,Senin_12:00-12:50
CIS60104,Transformasi Pemerintah,Sistem Informasi,1,"Pengelola, Pengampu",94.0,['94.0'],reguler,F4.7,Senin_17:00-17:50
CIS60104,Transformasi Pemerintah,Sistem Informasi,1,Pengampu,11.0,['11.0'],reguler,F2.9,Jumat_17:00-17:50
CIS60104,Transformasi Pemerintah,Sistem Informasi,1,Pengampu,21.0,['21.0'],reguler,F4.7,Jumat_12:50-13:40
CIS60104,Transformasi Pemerintah,Sistem Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.5b,Senin_13:40-14:30
CIS60104,Transformasi Pemerintah,Sistem Informasi,1,Pengampu,108.0,['108.0'],reguler,F4.12,Senin_17:00-17:50
